,lfile,interval,npts,nobs,meanp,meano,varp,varo,acfp,acfo,maxp,maxo,minp,mino,start
41,e4inc3simplelong23_0.6.xls,4.979166667,7171,4963,22.9352531,22.904594,5.420469737,5.817113111,NA,NA,26.6,26.6,14.7,14.6,8/9/2019 11:58
42,e4inc5simplelong23_0.94.xls,4.979166667,7171,5592,22.93447218,23.00811874,6.116292675,6.334314328,NA,NA,26.6,26.7,14.7,14.6,8/9/2019 11:58
43,e4inc6simplelong23_0.94rev.xls,4.979861111,7172,6195,22.92792805,22.80841001,6.10409929,5.95057989,NA,NA,26.6,26.5,14.7,15.3,8/9/2019 11:59
44,e5inc1simplelong27_0.06.xls,1.811111111,2609,1586,27.02912993,26.96916772,4.613368913,5.08535161,NA,NA,31,31,20,19.6,8/19/2019 4:42
45,e5inc3simplelong27_0.56.xls,3.45,208,107,26.97067308,26.88598131,1.735222733,1.948197849,NA,NA,28.4,28.3,25,24.7,8/20/2019 20:43
46,e5inc5simplelong27_0.94.xls,1.423611111,2051,1507,29.03442223,28.99442601,0.490004776,0.540832124,NA,NA,30.7,30.6,28,28,8/19/2019 14:00
47,e5inc6simplelong27_0.94rev.xls,4.51875,6508,5667,27.05270436,27.1166402,6.638134686,6.568676461,NA,NA,31.1,31.3,20,19.8,8/16/2019 11:44
48,e6inc1simplelong27_0.06.xls,5.034722222,7251,4529,26.92470004,26.90092736,4.366999479,4.717437302,NA,NA,31.1,31.3,20,19.6,8/23/2019 10:50
49,e6inc3simplelong27_0.56.xls,5.036111111,7253,4994,26.92447263,26.83516219,5.416418382,5.521571304,NA,NA,31.1,31.2,20,19.8,8/23/2019 10:54
50,e6inc5simplelong27_0.94.xls,5.031944444,7247,5958,26.92482407,26.89130581,6.19456585,5.998752668,NA,NA,31.1,31.1,20,19.8,8/23/2019 11:02
51,e6inc6simplelong27_0.94rev.xls,5.03125,7246,6370,26.93825559,26.90541601,6.11328579,5.94098652,NA,NA,31.1,31.5,20,20,8/23/2019 11:03
52,e7inc1simpleong.xls,4.883333333,7033,4386,15.02956064,14.98677611,4.191283325,4.58596876,NA,NA,20,20,10,9.8,8/30/2019 12:30
53,e7inc3simplelong2.xls,4.886805556,7038,4949,15.02406934,15.01602344,5.320568801,5.398847886,NA,NA,20,20.1,10,9.8,8/30/2019 12:30
54,e7inc5simplelong3.xls,4.886805556,7038,5538,14.91233305,14.79676779,6.116786911,6.321512036,NA,NA,20,20.2,10,10,8/30/2019 12:31
55,e7inc6simplelong4.xls,4.886805556,7038,6309,14.98333333,14.92128705,6.323762257,6.279893968,NA,NA,20,20.1,10,9.6,8/30/2019 12:31
56,e8inc1simplelong15_0.02.xls,4.999305556,7200,4464,14.94666667,14.91429211,4.193287957,4.664828179,NA,NA,21.4,21.5,10,9.8,9/6/2019 10:43
57,e8inc3simplelong15_0.57.xls,5.001388889,7203,5060,14.96577815,14.88824111,5.409754834,5.404698625,NA,NA,21.4,21.5,10,9.8,9/6/2019 10:43
58,e8inc5simplelong15_0.96.xls,5.002083333,7204,5384,14.96985008,14.99411218,6.191341308,6.152358045,NA,NA,21.4,21.2,10,10,9/6/2019 10:44
59,e8inc6simplelong15_0.96rev.xls,5.001388889,7203,6394,14.97705123,14.89588677,6.212668227,6.200635355,NA,NA,21.4,21.3,10,9.5,9/6/2019 10:44
60,e9inc1simplelong15_0.96rev.xls,5.022222222,7233,4508,14.97659339,14.93731145,6.1943843,6.257933041,NA,NA,21.4,21.3,10,9.6,9/13/2019 10:09
61,e9inc5simplelong15_0.57.xls,5.061111111,7289,5027,14.97453697,14.88758703,5.36224946,5.456801717,NA,NA,21.4,21.5,10,9.8,9/13/2019 10:09
62,e9inc6simplelong15_0.02.xls,5.064583333,7294,5778,14.96776803,14.9157667,4.193897198,4.671561996,NA,NA,21.4,21.3,10,9.8,9/13/2019 10:10
63,sampletestlog.xls,56,57,41,17.80526316,18.3,1.623721805,1.837,NA,NA,20,20.1,15.7,16,7/17/2019 13:10
