"","lfile","interval","npts","nobs","meanp","meano","varp","varo","acfp","acfo","exp","maxp","maxo","minp","mino","start"
"1","e10inc1simplelong11_0.91rev.xls",4.96736111111111,7154,4388,11.0213726586525,10.9850729261623,2.49756660882905,2.50907231349058,NA,NA,"e10",20,19.8,8,7.8,2019-09-20 11:23:00
"2","e10inc3simplelong11_0.91.xls",4.97291666666667,7162,5010,11.0170483105278,10.9242315369261,2.50045627455554,2.41385906180476,NA,NA,"e10",20,20,8,8,2019-09-20 11:23:00
"3","e10inc5simplelong11_0.53.xls",4.97361111111111,7163,5593,10.9685187770487,10.9516359735384,2.32843630103168,2.38979663489578,NA,NA,"e10",20,20,8,7.8,2019-09-20 11:24:00
"4","e10inc6simplelong11_0.04.xls",3.01805555555556,4347,3755,11.0144237405107,15.6383488681758,2.11728394637756,3.08373971925251,NA,NA,"e10",20,20,8,7.9,2019-09-20 11:24:00
"5","e11inc1simplelong15_0.95rev_sd2.5.xls",5.01736111111111,7226,4431,14.9682120121782,14.954118709095,2.47086800374492,2.48856628443868,NA,NA,"e11",20.3,20.6,10,10,2019-09-27 10:26:00
"6","e11inc3simplelong15_0.95_sd2.5.xls",5.02013888888889,7230,5016,14.9741355463347,14.9394338118022,2.47750100966542,2.44921946148025,NA,NA,"e11",20.3,20.2,10,9.8,2019-09-27 10:27:00
"7","e11inc5simplelong15_0.57_sd2.5.xls",5.02083333333333,7231,5652,14.9703498824506,14.9046709129512,2.3151370020252,2.3772001679398,NA,NA,"e11",20.3,20.2,10,9.6,2019-09-27 10:27:00
"8","e11inc6simplelong15_0.01_sd2.5.xls",5.02083333333333,7231,6320,14.967929746923,15.1938291139241,2.03880449702349,2.24177628262062,NA,NA,"e11",20.3,24.2,10,10.1,2019-09-27 10:27:00
"9","e12inc1simplelong15_0.95rev.xls",4.98958333333333,7186,2732,14.2810186473699,15.7435212298682,2.91789838058654,2.80145613427548,NA,NA,"e12",22,22,10.3,10.1,2019-10-04 10:55:00
"10","e12inc3simplelong15_0.95.xls",4.99097222222222,7188,3037,14.2451307735114,13.3226539348041,1.55339453682646,1.41383403654756,NA,NA,"e12",20,20,10.3,10.1,2019-10-04 10:57:00
"11","e12inc5simplelong15_0.57.xls",4.99236111111111,7190,3793,13.3952573018081,15.0325599789085,2.79202479546244,2.48426105005532,NA,NA,"e12",22,22,10.3,10.3,2019-10-04 10:57:00
"12","e12inc6simplelong15_0.01.xls",4.99305555555556,7191,3920,15.3816298150466,15.0623724489796,1.79672872649983,2.13183263157054,NA,NA,"e12",22,22.2,10.3,10.1,2019-10-04 10:57:00
"13","e13inc1simplelong15_0.02_5.xls",5.03472222222222,7251,4527,14.9757826506689,14.9497459686326,2.05062235913569,2.16718166302533,NA,NA,"e13",21.6,21.6,10.2,10.1,2019-10-11 10:26:00
"14","e13inc3simplelong15_0.61_5.xls",5.03541666666667,7252,5064,14.9763375620518,14.9567930489731,2.32758575145468,2.41109450606701,NA,NA,"e13",21.6,21.7,10.2,10.1,2019-10-11 10:26:00
"15","e13inc5simplelong15_0.95_5.xls",5.03541666666667,7252,5908,14.9685328185328,15.062779282329,2.46977534644773,2.47031487648709,NA,NA,"e13",21.6,21.6,10.2,10.1,2019-10-11 10:27:00
"16","e13inc6simplelong15_0.95rev_5.xls",5.03611111111111,7253,6290,14.9800496346339,14.9531001589825,2.47491672466085,2.47606139586216,NA,NA,"e13",21.6,21.6,10.2,10.1,2019-10-11 10:27:00
"17","e14inc1simplelong27_0.95rev_2.xls",4.95555555555556,7137,4354,26.9028863668208,26.8627698667892,2.49943941419029,2.51525074897326,NA,NA,"e14",31.9,31.7,20,20,2019-10-18 11:54:00
"18","e14inc3simplelong27_0.95_2.xls",4.95625,7138,4902,26.9285233959092,26.9424724602203,2.50014634955111,2.55251464257654,NA,NA,"e14",31.9,31.7,20,20,2019-10-18 11:55:00
"19","e14inc5simplelong27_0.58_2.xls",4.95625,7138,5813,26.9562062202298,26.8859108893859,2.33103922725529,2.39309542848626,NA,NA,"e14",31.9,31.8,20,19.8,2019-10-18 11:55:00
"20","e14inc6simplelong27_0.01_2.xls",4.95694444444444,7139,6121,26.9017089228183,26.8608070576703,2.06861763572376,2.15462443890681,NA,NA,"e14",31.9,31.8,20,20,2019-10-18 11:55:00
"21","e15inc1simplelong27_0.95rev_3.xls",5.01388888888889,7221,4485,26.9223930203573,26.8691192865106,2.50505552679537,2.53960919385913,NA,NA,"e15",31.7,31.6,19.3,19.1,2019-10-25 10:30:00
"22","e15inc3simplelong27_0.95_3.xls",5.01527777777778,7223,5068,26.9335179288384,26.8820639305446,2.48524572590222,2.53101618856351,NA,NA,"e15",31.7,31.6,19.3,19.2,2019-10-25 10:31:00
"23","e15inc5simplelong27_0.6_3.xls",5.01597222222222,7224,5619,26.9178709856035,26.8674675209112,2.35284042642839,2.40091181588834,NA,NA,"e15",31.7,31.6,19.3,19.3,2019-10-25 10:31:00
"24","e15inc6simplelong27_0.04_3.xls",5.01597222222222,7224,6322,26.9255121816168,26.8555204049351,2.0854820814964,2.18619564679964,NA,NA,"e15",31.7,31.7,19.3,19.1,2019-10-25 10:31:00
"25","e16inc1simplelong27_0.62_4.xls",5.08611111111111,7265,2160,27.6642945629732,26.1287962962963,1.86662365434632,2.29833184268236,NA,NA,"e16",32.4,32,20,20,2019-11-01 10:48:00
