"Plot Title: greenhouse_6"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10316953, SEN S/N: 10316953)","Intensity, Lux (LGR S/N: 10316953, SEN S/N: 10316953)","Bad Battery (LGR S/N: 10316953)","End Of File (LGR S/N: 10316953)"
113,07/20/24 04:00:00  AM,29.652,1162.5,,
114,07/20/24 05:00:00  AM,28.456,107.6,,
115,07/20/24 06:00:00  AM,27.370,10.8,,
116,07/20/24 07:00:00  AM,26.488,10.8,,
117,07/20/24 08:00:00  AM,25.513,0.0,,
118,07/20/24 09:00:00  AM,24.738,0.0,,
119,07/20/24 10:00:00  AM,24.062,0.0,,
120,07/20/24 11:00:00  AM,23.581,0.0,,
121,07/20/24 12:00:00  PM,23.196,0.0,,
122,07/20/24 01:00:00  PM,22.812,0.0,,
123,07/20/24 02:00:00  PM,22.429,0.0,,
124,07/20/24 03:00:00  PM,22.238,731.9,,
125,07/20/24 04:00:00  PM,22.333,1808.3,,
126,07/20/24 05:00:00  PM,26.879,1894.5,,
127,07/20/24 06:00:00  PM,25.805,861.1,,
128,07/20/24 07:00:00  PM,24.641,21.5,,
129,07/20/24 08:00:00  PM,23.677,10.8,,
130,07/20/24 09:00:00  PM,23.196,0.0,,
131,07/20/24 10:00:00  PM,23.100,0.0,,
132,07/20/24 11:00:00  PM,23.196,0.0,,
133,07/21/24 12:00:00  AM,23.196,0.0,,
134,07/21/24 01:00:00  AM,23.292,0.0,,
135,07/21/24 02:00:00  AM,23.292,0.0,,
136,07/21/24 03:00:00  AM,23.388,0.0,,
137,07/21/24 04:00:00  AM,23.484,172.2,,
138,07/21/24 05:00:00  AM,23.773,925.7,,Logged
