"Plot Title: greenhouse_4"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10316940, SEN S/N: 10316940)","Intensity, Lux (LGR S/N: 10316940, SEN S/N: 10316940)","Coupler Attached (LGR S/N: 10316940)","Host Connected (LGR S/N: 10316940)","Stopped (LGR S/N: 10316940)","End Of File (LGR S/N: 10316940)"
1,07/15/24 12:00:00  PM,22.333,7233.4,,,,
2,07/15/24 01:00:00  PM,23.677,7577.8,,,,
3,07/15/24 02:00:00  PM,23.773,3272.2,,,,
4,07/15/24 03:00:00  PM,24.931,10333.4,,,,
5,07/15/24 04:00:00  PM,26.683,6200.0,,,,
6,07/15/24 05:00:00  PM,28.060,9644.5,,,,
7,07/15/24 06:00:00  PM,28.258,3444.5,,,,
8,07/15/24 07:00:00  PM,27.665,624.3,,,,
9,07/15/24 08:00:00  PM,27.075,269.1,,,,
10,07/15/24 09:00:00  PM,26.390,53.8,,,,
11,07/15/24 10:00:00  PM,25.708,10.8,,,,
12,07/15/24 11:00:00  PM,24.931,0.0,,,,
13,07/16/24 12:00:00  AM,24.448,0.0,,,,
14,07/16/24 01:00:00  AM,23.966,0.0,,,,
15,07/16/24 02:00:00  AM,23.677,0.0,,,,
16,07/16/24 03:00:00  AM,23.388,0.0,,,,
17,07/16/24 04:00:00  AM,23.100,0.0,,,,
18,07/16/24 05:00:00  AM,22.908,0.0,,,,
19,07/16/24 06:00:00  AM,22.717,0.0,,,,
20,07/16/24 07:00:00  AM,22.717,398.3,,,,
21,07/16/24 08:00:00  AM,22.717,64.6,,,,
22,07/16/24 09:00:00  AM,23.196,7233.4,,,,
23,07/16/24 10:00:00  AM,23.004,193.8,,,,
24,07/16/24 11:00:00  AM,22.717,1550.0,,,,
25,07/16/24 12:00:00  PM,24.062,6200.0,,,,
26,07/16/24 01:00:00  PM,27.272,17222.3,,,,
27,07/16/24 02:00:00  PM,29.053,12400.1,,,,
28,07/16/24 03:00:00  PM,30.659,17222.3,,,,
29,07/16/24 04:00:00  PM,31.166,10677.8,,,,
30,07/16/24 05:00:00  PM,29.752,258.3,,,,
31,07/16/24 06:00:00  PM,28.853,5166.7,,,,
32,07/16/24 07:00:00  PM,28.060,1550.0,,,,
33,07/16/24 08:00:00  PM,27.272,656.6,,,,
34,07/16/24 09:00:00  PM,26.488,64.6,,,,
35,07/16/24 10:00:00  PM,25.902,10.8,,,,
36,07/16/24 11:00:00  PM,25.319,0.0,,,,
37,07/17/24 12:00:00  AM,24.738,0.0,,,,
38,07/17/24 01:00:00  AM,24.158,0.0,,,,
39,07/17/24 02:00:00  AM,23.581,0.0,,,,
40,07/17/24 03:00:00  AM,23.196,0.0,,,,
41,07/17/24 04:00:00  AM,22.717,0.0,,,,
42,07/17/24 05:00:00  AM,22.238,0.0,,,,
43,07/17/24 06:00:00  AM,21.760,0.0,,,,
44,07/17/24 07:00:00  AM,21.378,183.0,,,,
45,07/17/24 08:00:00  AM,21.473,1550.0,,,,
46,07/17/24 09:00:00  AM,21.855,2669.5,,,,
47,07/17/24 10:00:00  AM,23.581,5511.1,,,,
48,07/17/24 11:00:00  AM,25.805,18600.1,,,,
49,07/17/24 12:00:00  PM,28.357,9644.5,,,,
50,07/17/24 01:00:00  PM,28.953,8611.2,,,,
51,07/17/24 02:00:00  PM,29.953,8611.2,,,,
52,07/17/24 03:00:00  PM,31.574,15844.5,,,,
53,07/17/24 04:00:00  PM,30.963,13777.9,,,,
54,07/17/24 05:00:00  PM,30.963,9644.5,,,,
55,07/17/24 06:00:00  PM,30.457,4133.4,,,,
56,07/17/24 07:00:00  PM,29.352,667.4,,,,
57,07/17/24 08:00:00  PM,28.060,452.1,,,,
58,07/17/24 09:00:00  PM,26.585,32.3,,,,
59,07/17/24 10:00:00  PM,25.319,0.0,,,,
