#,Date-Time (EDT),"Temperature , °C","Light , lux"
1,07/21/2025 17:38:45,24.24,164.16
2,07/21/2025 18:38:45,22.39,0.99
3,07/21/2025 19:38:45,21.96,0.39
4,07/21/2025 20:38:45,21.70,0.00
5,07/21/2025 21:38:45,21.45,0.00
6,07/21/2025 22:38:45,21.19,0.00
7,07/21/2025 23:38:45,21.28,0.00
8,07/22/2025 00:38:45,21.06,0.00
9,07/22/2025 01:38:45,21.02,0.00
10,07/22/2025 02:38:45,21.15,0.00
11,07/22/2025 03:38:45,21.15,0.00
12,07/22/2025 04:38:45,21.19,0.00
13,07/22/2025 05:38:45,21.02,0.00
14,07/22/2025 06:38:45,21.10,0.00
15,07/22/2025 07:38:45,21.10,0.00
16,07/22/2025 08:38:45,20.20,5.20
17,07/22/2025 09:38:45,22.48,0.59
18,07/22/2025 10:38:45,23.08,0.99
19,07/22/2025 11:38:45,20.59,54.98
20,07/22/2025 12:38:45,20.80,74.74
21,07/22/2025 13:38:45,22.86,1061.12
22,07/22/2025 14:38:45,23.29,801.28
23,07/22/2025 15:38:45,23.72,134.84
24,07/22/2025 16:38:45,24.58,843.20
25,07/22/2025 17:38:45,22.95,1.41
26,07/22/2025 18:38:45,22.39,0.79
27,07/22/2025 19:38:45,22.09,1.02
28,07/22/2025 20:38:45,21.36,0.19
29,07/22/2025 21:38:45,19.86,0.00
30,07/22/2025 22:38:45,18.74,0.00
31,07/22/2025 23:38:45,17.97,0.00
32,07/23/2025 00:38:45,17.20,0.00
33,07/23/2025 01:38:45,16.60,0.00
34,07/23/2025 02:38:45,16.08,0.00
35,07/23/2025 03:38:45,15.96,0.00
36,07/23/2025 04:38:45,15.74,0.00
37,07/23/2025 05:38:45,16.17,0.00
38,07/23/2025 06:38:45,16.17,0.99
39,07/23/2025 07:38:45,16.64,1.21
40,07/23/2025 08:38:45,17.59,1.61
41,07/23/2025 09:38:45,18.79,1.41
42,07/23/2025 10:38:45,19.95,1.61
43,07/23/2025 11:38:45,20.89,2.58
44,07/23/2025 12:38:45,21.40,2.61
45,07/23/2025 13:38:45,25.82,2.83
46,07/23/2025 14:38:45,25.95,63.98
47,07/23/2025 15:38:45,28.65,37.62
48,07/23/2025 16:38:45,27.07,283.20
49,07/23/2025 17:38:45,25.01,12231.68
50,07/23/2025 18:38:45,23.29,1042.88
51,07/23/2025 19:38:45,23.21,179.28
52,07/23/2025 20:38:45,23.16,50.00
