#,Date_Time_EDT,Temp_C,Light_lux
1,7/21/2025 17:39,24.11,454.08
2,7/21/2025 18:39,22.73,9.91
3,7/21/2025 19:39,21.96,4.32
4,7/21/2025 20:39,21.88,0.4
5,7/21/2025 21:39,21.62,0
6,7/21/2025 22:39,21.36,0
7,7/21/2025 23:39,21.53,0.81
8,7/22/2025 0:39,21.06,0.81
9,7/22/2025 1:39,20.93,0
10,7/22/2025 2:39,21.28,0
11,7/22/2025 3:39,21.23,0
12,7/22/2025 4:39,21.1,0
13,7/22/2025 5:39,20.98,0
14,7/22/2025 6:39,21.1,0.2
15,7/22/2025 7:39,21.19,0.81
16,7/22/2025 8:39,20.29,0.4
17,7/22/2025 9:39,22.78,1.22
18,7/22/2025 10:39,22.86,15.7
19,7/22/2025 11:39,20.37,1.63
20,7/22/2025 12:39,20.16,1.63
21,7/22/2025 13:39,20.55,5.17
22,7/22/2025 14:39,20.98,2.45
23,7/22/2025 15:39,21.1,2.89
24,7/22/2025 16:39,21.4,2.86
25,7/22/2025 17:39,21.53,0.4
26,7/22/2025 18:39,21.36,0.4
27,7/22/2025 19:39,21.1,0.2
28,7/22/2025 20:39,20.76,0
29,7/22/2025 21:39,19.73,0
30,7/22/2025 22:39,18.79,0
31,7/22/2025 23:39,18.23,0
32,7/23/2025 0:39,17.5,0
33,7/23/2025 1:39,16.99,0
34,7/23/2025 2:39,16.51,0
35,7/23/2025 3:39,16.39,0
36,7/23/2025 4:39,16.21,0
37,7/23/2025 5:39,16.64,0
38,7/23/2025 6:39,16.6,0
39,7/23/2025 7:39,16.9,0.4
40,7/23/2025 8:39,17.67,0.4
41,7/23/2025 9:39,18.53,0.4
42,7/23/2025 10:39,19.3,0.4
43,7/23/2025 11:39,19.73,0
44,7/23/2025 12:39,19.6,0
45,7/23/2025 13:39,24.62,0.2
46,7/23/2025 14:39,24.62,16.29
47,7/23/2025 15:39,27.8,13.78
48,7/23/2025 16:39,33.97,3230.72
49,7/23/2025 17:39,23.42,1415.68
50,7/23/2025 18:39,25.31,0
51,7/23/2025 19:39,22.39,0
52,7/23/2025 20:39,21.36,0
53,7/23/2025 21:39,20.55,0
54,7/23/2025 22:39,19.73,0
55,7/23/2025 23:39,19.35,0
56,7/24/2025 0:39,19.22,0
57,7/24/2025 1:39,19.09,0
58,7/24/2025 2:39,18.74,0
59,7/24/2025 3:39,18.36,0
60,7/24/2025 4:39,18.27,0
