#,Date_Time_EDT,Temp_C,Light_lux
1,7/21/2025 17:38,24.24,164.16
2,7/21/2025 18:38,22.39,0.99
3,7/21/2025 19:38,21.96,0.39
4,7/21/2025 20:38,21.7,0
5,7/21/2025 21:38,21.45,0
6,7/21/2025 22:38,21.19,0
7,7/21/2025 23:38,21.28,0
8,7/22/2025 0:38,21.06,0
9,7/22/2025 1:38,21.02,0
10,7/22/2025 2:38,21.15,0
11,7/22/2025 3:38,21.15,0
12,7/22/2025 4:38,21.19,0
13,7/22/2025 5:38,21.02,0
14,7/22/2025 6:38,21.1,0
15,7/22/2025 7:38,21.1,0
16,7/22/2025 8:38,20.2,5.2
17,7/22/2025 9:38,22.48,0.59
18,7/22/2025 10:38,23.08,0.99
19,7/22/2025 11:38,20.59,54.98
20,7/22/2025 12:38,20.8,74.74
21,7/22/2025 13:38,22.86,1061.12
22,7/22/2025 14:38,23.29,801.28
23,7/22/2025 15:38,23.72,134.84
24,7/22/2025 16:38,24.58,843.2
25,7/22/2025 17:38,22.95,1.41
26,7/22/2025 18:38,22.39,0.79
27,7/22/2025 19:38,22.09,1.02
28,7/22/2025 20:38,21.36,0.19
29,7/22/2025 21:38,19.86,0
30,7/22/2025 22:38,18.74,0
31,7/22/2025 23:38,17.97,0
32,7/23/2025 0:38,17.2,0
33,7/23/2025 1:38,16.6,0
34,7/23/2025 2:38,16.08,0
35,7/23/2025 3:38,15.96,0
36,7/23/2025 4:38,15.74,0
37,7/23/2025 5:38,16.17,0
38,7/23/2025 6:38,16.17,0.99
39,7/23/2025 7:38,16.64,1.21
40,7/23/2025 8:38,17.59,1.61
41,7/23/2025 9:38,18.79,1.41
42,7/23/2025 10:38,19.95,1.61
43,7/23/2025 11:38,20.89,2.58
44,7/23/2025 12:38,21.4,2.61
45,7/23/2025 13:38,25.82,2.83
46,7/23/2025 14:38,25.95,63.98
47,7/23/2025 15:38,28.65,37.62
48,7/23/2025 16:38,27.07,283.2
49,7/23/2025 17:38,25.01,12231.68
50,7/23/2025 18:38,23.29,1042.88
51,7/23/2025 19:38,23.21,179.28
52,7/23/2025 20:38,23.16,50
53,7/23/2025 21:38,23.12,0
54,7/23/2025 22:38,23.16,0
55,7/23/2025 23:38,23.16,0
56,7/24/2025 0:38,23.12,0
57,7/24/2025 1:38,23.08,0
58,7/24/2025 2:38,23.12,0
59,7/24/2025 3:38,23.16,0
60,7/24/2025 4:38,23.29,0
61,7/24/2025 5:38,23.29,0
62,7/24/2025 6:38,23.25,62.5
63,7/24/2025 7:38,23.16,211.36
64,7/24/2025 8:38,23.21,687.68
65,7/24/2025 9:38,23.21,1170.24
