"lat","lon"
38.72666,-87.68805
38.99591,-88.62159
38.70583,-87.76
3.91451,-53.24036
14.65485,-61.01929
16.19761,-61.5398
-21.13317,55.53241
35.463435,-90.548417
30.467461,-81.451478
36.001086,-78.933331
-43.45103,172.593683
35.67135,139.39497
32.78815,130.37059
35.35305,136.03578
34.6145,135.5346
33.9634,132.093
35.0345,135.5677
34.0231,131.4459
33.9459,132.0633
35.7333,139.8817
33.9635,132.0991
34.4317,135.6167
-27.045555,-51.201667
-33.615917,150.754988
23.145716,120.412359
39.026208,-77.251365
37.13721,-122.08508
27.140342,-80.183905
27.117133,-80.309945
32.634476,-95.460578
27.258987,-80.242308
46.133333,-123.935
17.118303,-25.110129
27.085892,-80.662688
27.112181,-80.656037
-35.728002,174.317552
-36.867131,174.720638
38.24035,-75.510628
-37.017563,174.842865
35.000184,-80.17741
-22.956667,-42.825833
-22.850556,-42.769722
27.10785,-80.254983
27.091842,-80.216912
-23,-51
33.77672,-89.9993
29.739444,-82.944167
29.92495,-83.66981
29.64115,-85.14734
30.170565,-84.403944
26.966806,-82.331361
29.693056,-82.953333
30.4765,-84.62331
30.15225,-84.14719
30.11453,-83.58124
30.46911,-83.63302
30.45846,-84.27767
30.305154,-85.625531
-35.183333,149.133333
35.356308,-79.479125
27.146458,-80.534095
4.923858,-52.331495
-39.453926,174.411942
-34.704068,-55.942271
-39.038545,174.112346
34.706487,-86.633683
32.371224,-86.178387
24.722291,121.647877
44.429766,-123.20698
30.211003,-97.240946
-38.024568,175.815381
30.254946,-95.273284
27.89373,-81.16838
32.323411,-80.824532
-38.034485,175.82731
27.153056,-80.538475
30.96057,-81.72197
31.438889,-86.934444
34.829444,-85.794722
29.735033,-95.654968
4.924518,-52.332556
40.775391,-124.129125
38.995913,-88.621595
38.702194,-87.791089
29.719284,-95.73304
4.645063,-52.159275
35.064557,-80.069742
27.13817,-80.200937
28.643528,-81.311327
26.970972,-80.14383
35.689568,139.69172
29.627119,-82.320174
-36.997158,174.79278
13.394417,-16.645847
-37.889436,175.470866
-37.889629,175.468129
27.105308,-80.252945
34.998375,-92.380508
-33.050275,-71.502167
31.909083,-81.307884
14.462746,-61.056298
-0.61666,-80.41666
-41.251824,175.266514
26.994208,-80.429838
29.63483,-82.368306
31.898011,-81.259331
-37.7322,145.2094
29.64594,-82.36831
34.047721,-81.16943
31.898004,-81.259232
29.618693,-82.333759
-41.406829,146.50968
-33.915088,151.251155
-7.090232,146.676095
-28.306741,152.476087
-38.11333,176.309545
-33.005191,-60.622396
23.685865,120.58323
-31.553324,147.293202
38.91,-76.96
34.998613,-92.380433
-36.879586,174.707945
20.883251,-156.535979
-35.846194,144.919139
-35.936472,144.991444
-35.936694,144.992694
-35.963722,144.93725
-35.932222,144.992389
-35.890111,145.04025
-35.890222,145.040139
-35.835444,144.960306
-35.932361,144.993083
-35.845028,144.917972
-35.856556,145.027361
-35.932222,144.992
-35.845972,144.917833
-35.856333,145.029222
-35.835611,144.958972
-35.835194,144.958972
-35.937639,144.994556
-35.835861,144.960194
-35.890361,145.039722
-35.890694,145.039778
-35.845139,144.919278
-35.795333,144.909306
-35.96325,144.93675
-37.6925,145.1218
-37.717,145.0554
21.4833,-157.833
24.092821,121.019741
23.975556,120.983056
24.09308,121.03118
-41.252893,175.265963
-41.105522,174.915792
-21.16607,55.33328
42.468317,-120.505333
34.9925,-120.59889
38.645363,-77.232462
-35.303444,149.15825
-35.237809,148.989915
-20.0567,142.4913
-24.88,147.8249
-20.08,145.1211
-26.757667,152.077167
-22.845,145.743
-18.2636,144.5269
-27.181735,153.401057
-22.7664,145.428
-24.8442,147.1958
-25.3609,147.1013
-22.2592,145.3394
-19.4972,144.2819
-18.4817,145.0355
-22.7645,145.4244
-19.3189,144.3927
-22.2031,145.3772
-22.612,145.6713
-22.6072,145.6686
-22.4578,145.6444
-19.5045,144.2233
-24.5339,149.1685
-26.2311,148.8697
-18.0589,144.5366
-25.505,147.9774
-25.4147,150.0237
-25.4481,150.1537
-20.1717,145.0097
-23.1972,145.8341
-24.3159,149.1676
-23.2047,145.8494
-23.665089,151.167736
-18.06,144.4941
-25.4511,150.0432
-25.9095,151.8332
-18.21,145.0619
-22.1306,145.3972
-22.7528,145.4269
-18.2617,144.5636
-27.952,144.7694
-22.1595,145.3802
-22.4503,145.6372
-19.9042,145.2905
-22.1395,145.393
-22.7334,145.4424
-22.7578,145.4366
-25.725,150.2693
-24.8581,147.1902
-25.5528,149.8071
-22.8431,145.7513
31.08535,-86.5549
34.371666,-86.936111
32.58166,-89.865534
34.630554,-87.488892
31.089445,-86.54361
32.534973,-85.496559
31.63139,-86.720558
31.686945,-86.283607
33.87,-86.42
33.14,-87.63
32.63,-85.79
34.57,-86.56
34.56,-86.8
32.53,-85.49
33.77,-86.64
32.54,-86.3
32.99,-87.12
21.3333,-157.767
30.441,-81.438
32.33,-81.4606
31.019192,-81.427632
30.831731,-90.135208
31.834528,-90.675528
34.404,-90.241
34.359528,-88.412528
34.93665,-92.368174
33.337778,-81.838611
-33.840525,151.235581
-27.690832,-48.484272
-27.602207,-48.525033
35.05525,-120.56676
28.1678,-82.4128
25.01107,121.109291
25.010435,121.108664
31.957095,-89.658506
35.03068,-92.35899
34.6204,-92.90047
34.54234,-92.27548
7.397561,-73.872731
7.374329,-73.891085
7.406081,-73.862468
34.992583,-120.598944
34.95752,-79.86802
29.575204,-94.391064
-35.878944,144.988917
-35.855083,145.028611
-35.855806,145.028889
-35.795278,144.908778
-35.795334,144.909309
-35.835863,144.960188
-23.601944,134.486389
39.293059,-77.72691
32.4725,-80.634167
32.236667,-80.855278
32.426044,-80.735194
-41.307601,174.707884
-36.919708,174.796903
30.063137,-96.899024
-28.969566,31.75504
44.428283,-123.210068
41.456974,-78.057363
-30.6,151.3
-35.8523,145.0346
-38.1407,147.1375
-35.4818,143.8846
-38.1738,147.3347
-35.8318,143.9513
-38.5151,142.8013
-35.8984,145.6512
-35.7318,144.1846
-36.2151,145.3179
-38.2318,142.9013
-35.7818,143.8846
-38.598,145.5844
-35.8818,145.0346
-37.7651,147.3846
-37.4651,149.5679
-36.4484,146.4179
-35.8151,144.1513
-36.5318,145.9679
-37.7307,145.2107
-36.0151,145.9679
-38.2818,145.3679
-38.0666,141.55
-37.6984,148.4512
-38.2,141.8833
-38.0403,145.2353
-37.8984,146.6346
-37.8318,145.2013
-35.9651,144.9346
