"lat","lon"
37.0106,-25.09202
37.00591,-25.0809
36.96609,-25.12683
36.97383,-25.048
36.96069,-25.0708
36.98339,-25.08146
36.95177,-25.07664
36.97501,-25.12099
36.9531,-25.16083
36.97068,-25.13233
36.97898,-25.08719
36.94374,-25.1386
36.97474,-25.10415
36.95319,-25.16645
36.95726,-25.13827
36.94248,-25.06003
36.95618,-25.07091
36.9332,-25.04343
41.018188,28.964199
60.170408,24.925127
52.18,4.51
52.23,4.95
52,4.31
52,4.25
51.31,6.12
51.48,5.23
43.56,12.27
41.9,12.45
50.5,4.47
51.5,0.11
41.87,12.57
41.87,12.57
46.2,6.14
60.19,24.94
59.2,18.3
