"","lon","lat"
"204",-95.27782,30.030142
"205",-96.654185,32.330604
"206",-85.403708,32.435844
"207",-80.373322,25.758614
"208",145.009444,-35.842278
"209",115.945372,-32.03378
"210",115.741389,-31.663333
"211",122.666667,-16.983333
"212",115.966667,-31.983333
"213",115.896667,-31.426389
"214",115.92,-32.018056
"215",115.833333,-32.283333
"216",115.833056,-31.916667
"217",115.683333,-31.55
"218",116.018056,-31.839444
"219",-80.540848,25.667553
"220",135.473333,-26.469722
"221",149.033333,-35.283333
"222",146.763889,-33.046667
"223",149.11,-35.1775
"224",128.483333,-15.483333
"225",139.101094,-34.832054
"226",152.90559,-31.020557
"227",150.600949,-34.181967
"228",150.32,-34.47
"229",138.858333,-34.966667
"230",150.867824,-33.567314
"231",140.883333,-37.966667
"232",145.82,-34.17
"233",128.698889,-15.761667
"234",150.85,-34.02
"235",150.867828,-33.915092
"236",140.566667,-34.45
"237",144.972778,-37.691667
"238",150.517838,-34.148429
"239",140.6,-34.283333
"240",144.93437,-35.532012
"241",138.716099,-35.005669
"242",138.751099,-35.032058
"243",138.551106,-35.432062
"244",148.02,-33.37
"245",150.417837,-33.948431
"246",140.625558,-37.722059
"247",152.95108,-29.648412
"248",139.633333,-34.275
"249",150.38,-33.55
"250",151.07,-33.72
"251",150.838992,-33.949857
"252",150.953717,-33.729187
"253",151.648637,-32.665084
"254",139.733598,-35.739832
"255",150.751164,-33.915094
"256",150.701162,-33.748428
"257",140.591944,-34.306944
"258",140.55,-37.566667
"259",150.62,-34.17
"260",150.351175,-34.265097
"261",146.27,-33.85
"262",151.12,-33.97
"263",150.92,-30.93
"264",146.901018,-36.065334
"265",150.767828,-33.798427
"266",152.75,-28.183333
"267",149.075556,-35.235278
"268",139.266667,-35.116667
"269",153,-28.62
"270",146.066667,-34.3
"271",140.95,-36.716667
"272",150.65,-33.57
"273",145.8022,-34.2164
"274",150.9,-33.6667
"275",150.667829,-33.715095
"276",138.779167,-35.031389
"277",146.551008,-34.748664
"278",150.95,-33.77
"279",151.1448,-30.9193
"280",150.95116,-33.865091
"281",150.901159,-33.798425
"282",145.772402,-34.281724
"283",149.717857,-34.748435
"284",146.5,-41.4
"285",150.5667,-34.8
"286",146.666667,-7.083333
"287",147.316667,-19.566667
"288",150.7167,-33.6
"289",147.233333,-33.183333
"290",139.3,-34.916667
"291",149.57,-33.47
"292",139.6,-34.883333
"293",150.767838,-34.565094
"294",151.551138,-32.715085
"295",138.65,-34.866667
"296",147.251247,-35.815125
"297",146.417675,-34.598665
"298",150.917787,-30.565089
"299",143.55,-35.32
"300",151.65,-30.5
"301",145.666667,-17.45
"302",151.683333,-30.726389
"303",145.629167,-17.158889
"304",151.177353,-32.589156
"305",149.791389,-35.725278
"306",-47.641111,-22.706944
"307",-81.596903,28.384651
"308",-95.232866,40.074387
"309",139.36935,-35.03225
"310",138.5861,-35.03868
"311",146.0667,-38.2
"312",146.85,-38.0167
"313",150.4667,-23.3667
"314",141.9167,-34.1
"315",152.9667,-28.8167
"316",148.5667,-37.65
"317",153,-26.5667
"318",88.3,22.566667
"319",146.9667,-36.0667
"320",146.3167,-36.35
"321",142.238889,-34.258611
"322",147.9667,-36.1167
"323",147.5167,-37.6667
"324",145.789167,-36.228
"325",152.45,-27.0667
"326",150.3167,-33.8667
"327",144.948056,-36.189722
"328",143.830556,-35.457222
"329",142.3167,-38.1167
"330",-119.03087,34.35577
"331",-115.683333,34.266667
"332",-121.75897,38.53151
"333",151.615,-32.859
"334",147.416667,-41.366667
"335",152.417744,-27.415077
"336",151.917752,-27.248414
"337",152.917736,-27.415073
"338",152.584398,-26.915074
"339",145.426111,-17.256801
"340",147.476099,-19.740115
"341",145.749141,-17.586465
"342",145.359444,-17.090134
"343",152.417748,-27.915075
"344",145.417777,-17.415134
"345",150.584409,-23.415089
"346",152.417744,-27.24841
"347",151.597191,-26.752304
"348",152.5,-27.5
"349",149.15942,-21.540099
"350",152.917731,-26.915074
"351",139.592861,-20.956825
"352",139.559527,-20.606825
"353",150.183867,-25.180639
"354",153.084399,-27.581735
"355",152.417753,-28.081741
"356",150.209415,-22.756757
"357",148.584475,-28.081765
"358",153.25107,-28.081734
"359",153.191667,-28.191667
"360",150.584408,-24.415085
"361",-81.048056,32.196111
"362",-121.72741,39.80197
"363",-121.527222,40.443611
"364",-121.578889,39.463889
"365",-94.827619,30.284993
"366",-80.237696,35.359669
"367",-79.208991,34.893453
"368",-81.093767,35.675433
"369",144.75,-36.5
"370",147.75,-36.5
"371",145.5,-34
"372",118,-34
"373",143,-16
"374",143.25,-35.5
"375",115,-29
"376",147.75,-37.5
"377",150.5,-27.5
"378",140.583333,-37.416667
"379",144.75,-37.75
"380",120,-32.5
"381",116,-34
"382",147,-35.5
"383",148,-33.5
"384",138.5,-35.433333
"385",141.75,-34.5
"386",149,-36
"387",117.5,-31.5
"388",152.75,-31
"389",140,-34.166667
"390",141.75,-37.75
"391",149,-24
"392",146,-19.5
"393",143.25,-38.5
"394",147.3196,-35.733333
"395",149.5,-34
"396",149,-37.5
"397",150.5,-23
"398",150,-36
"399",143.25,-37.5
"400",146.25,-36.5
"401",116.5,-34.5
"402",150.819772,-33.53596
"403",150.512394,-34.741857
"404",152.892685,-29.814136
"405",-123.768902,46.039585
"406",-83.20051,42.6565
"407",-79.80283,41.777558
"408",-89.477767,41.38642
"409",-123.988265,40.747403
"410",-122.121202,40.688705
"411",-121.64631,39.648354
"412",-122.751791,39.023264
"413",-76.79927,39.01909
"414",-94.519758,39.00171
"415",-77.249565,38.840845
"416",-121.775709,38.634155
"417",-77.431522,38.394099
"418",-122.27274,37.871593
"419",-86.452247,37.783397
"420",-89.837773,37.709917
"421",-76.898446,37.700534
"422",-121.192,37.6932
"423",-76.999261,37.661907
"424",-93.955078,37.649034
"425",-88.894637,37.466033
"426",-89.628002,37.358761
"427",-121.912818,37.306509
"428",-77.262969,37.203653
"429",-89.28948,37.146816
"430",-119.64233,37.02878
"431",-76.70334,36.886756
"432",-88.952666,36.851769
"433",-89.958709,36.847028
"434",-101.465501,36.746891
"435",-77.469673,36.441314
"436",-89.485338,36.333874
"437",-92.294471,34.766541
"438",-91.207816,34.732843
"439",-99.872028,34.717716
"440",-81.610324,34.71947
"441",-98.42346,34.633961
"442",-91.429413,34.359997
"443",-91.987152,34.243795
"444",-94.788646,34.110519
"445",-93.157703,34.068954
"446",-93.01371,34.0521
"447",-80.974331,34.035404
"448",-91.709049,33.978821
"449",-91.350302,33.789358
"450",-90.6846,33.6144
"451",-86.980562,33.564928
"452",-87.374724,33.443446
"453",-91.785346,33.18542
"454",-97.059692,33.134638
"455",-79.980644,33.127058
"456",-90.837017,32.915089
"457",-80.672583,32.888847
"458",-95.603714,32.857095
"459",-92.387227,32.807443
"460",-91.857594,32.800419
"461",-90.989754,32.791494
"462",-94.061852,32.689376
"463",-93.653345,32.594636
"464",-81.2678,32.528669
"465",-93.813906,32.527562
"466",-92.115857,32.509377
"467",-94.800632,32.491047
"468",-92.600627,32.285534
"469",-89.99889,32.265894
"470",-95.476685,32.163407
"471",-94.80141,32.156777
"472",-92.130387,32.084381
"473",-91.314839,31.967396
"474",-90.404131,31.866098
"475",-94.135485,31.820788
"476",-93.095218,31.743266
"477",-92.185561,31.729833
"478",-93.898093,31.710643
"479",-91.865263,31.653491
"480",-91.53623,31.577319
"481",-84.936136,31.311249
"482",-92.476589,31.262083
"483",-89.823725,31.240902
"484",-83.429366,31.154793
"485",-92.059374,31.054101
"486",-95.96281,30.951954
"487",-91.385784,30.867513
"488",-84.570363,30.884222
"489",-91.078493,30.838237
"490",-89.979348,30.8297
"491",-94.187164,30.844468
"492",-90.729451,30.813603
"493",-91.600115,30.733518
"494",-93.338644,30.725381
"495",-92.377956,30.687343
"496",-90.462949,30.607405
"497",-91.119654,30.480122
"498",-90.803639,30.473924
"499",-89.930622,30.398425
"500",-84.668112,30.38276
"501",-91.287188,30.275168
"502",-93.291757,30.237442
"503",-90.940966,30.203822
"504",-91.782123,30.186267
"505",-93.842055,30.114604
"506",-90.758029,30.024711
"507",-91.799903,29.978573
"508",-90.1514,29.935238
"509",-94.128113,29.935895
"510",-90.396386,29.942367
"511",-91.054794,29.9269
"512",-94.013507,29.875215
"513",-90.576486,29.624247
"514",-90.735917,29.541174
"515",-97.464882,27.976423
"516",-158.03833,21.45179
"517",-155.500488,19.55979
"518",-80.087113,32.87164
"519",-79.4544,33.179
"520",-81.286123,33.565515
"521",-81.739722,34.485833
"522",-79.97015,33.95045
"523",174.942222,-37.724722
"524",-95.072855,29.595455
"525",-81.417261,41.560194
"526",-84.551881,37.978327
"527",174.468697,-36.889638
"528",175.331423,-40.12829
"529",175.495249,-40.41478
"530",175.311001,-40.122773
"531",175.099067,-37.459124
"532",-77.341405,38.926193
"533",153.198809,-27.67447
"534",145.4194,-36.2647
"535",145.2102,-36.6997
"536",145.1116,-36.0127
"537",145.1677,-36.0102
"538",145.3044,-36.62
"539",145.1352,-37.9644
"540",145.048,-37.7852
"541",145.523,-37.6852
"542",145.3038,-37.713
"543",144.8325,-37.7266
"544",142.812,-38.1272
"545",141.8398,-34.1379
"546",141.7766,-38.1338
"547",141.8494,-38.0233
"548",146.2597,-38.2677
"549",146.3597,-38.24
"550",145.2433,-36.4291
"551",145.1202,-36.4347
"552",145.1588,-36.365
"553",145.1375,-36.2366
"554",145.4505,-36.2627
"555",145.195,-36.3925
"556",145.223,-36.3352
"557",145.2686,-36.4361
"558",145.7688,-36.0411
"559",145.0788,-36.3491
"560",144.8055,-36.1633
"561",145.1947,-36.213
"562",145.2702,-36.2619
"563",147.6263,-37.8444
"564",145.4263,-36.4233
"565",145.2213,-37.8972
"566",147.7513,-36.9483
"567",145.3358,-37.9969
"568",145.2833,-38.1355
"569",145.0836,-37.6697
"570",145.1063,-37.6372
"571",145.1691,-38.1202
"572",144.4805,-37.1358
"573",144.5263,-37.0816
"574",143.8375,-35.6733
"575",143.368,-35.1483
"576",141.6847,-34.1316
"577",145.388,-36.3538
"578",145.3444,-36.5094
"579",141.9125,-37.233
"580",143.2513,-36.615
"581",143.823,-37.5469
"582",141.958,-37.738
"583",144.2969,-35.8225
"584",143.7411,-35.6166
"585",146.1497,-36.4016
"586",145.2205,-35.8683
"587",146.9366,-36.0994
"588",145.5341,-37.7633
"589",146.0283,-36.1011
"590",145.9111,-35.9802
"591",146.3833,-36.0469
"592",145.6575,-38.0619
"593",139.67637,-34.08726
"594",150.777947,-34.464779
"595",-90.1147,29.7869
"596",-81.55,26.4667
"597",-82,28
"598",-82.5667,28.0333
"599",-84.9244,30.7077
"600",-81.4202,26.4194
"601",-81.8106,27.6186
"602",-81.345,26.6125
"603",-82,27.0333
"604",-81.1331,29.3967
"605",-81.3031,29.0283
"606",-81.6854,28.8528
"607",-81.66,26.4611
"608",-81.9167,27.4667
"609",-82.1833,27.4833
"610",-81.977,28.5794
"611",-81.8,27.1833
"612",-82.2667,30.25
"613",-82.2833,27.5
"614",-87.0397,30.6324
"615",-82.0854,27.8595
"616",-82.3879,28.5553
"617",-82.4929,28.05
"618",-82.5307,27.3364
"619",-75.988561,39.199251
"620",-82.40859,29.61132
"621",-81.48555,27.84372
"622",-95.684927,30.309582
"623",151.981589,-32.097976
"624",151.703281,-32.840376
"625",151.662096,-32.838733
"626",151.678694,-32.855695
"627",175.6,-40.352
"628",-76.9406,38.9058
"629",-90.2402,29.66357
"630",-84.14,9.8
"631",-83.0718,29.9066
"632",-84.093477,9.97362
"633",-84.030701,9.816245
"634",-84.185556,9.972222
"635",138.62041,-35.46435
"636",140.38865,-34.31546
"637",140.77677,-34.09453
"638",140.76898,-34.20111
"639",140.78202,-34.13681
"640",139.57379,-34.83315
"641",139.6099,-34.6843
"642",140.38377,-34.22253
"643",139.6757,-34.07915
"644",150.793719,-33.733649
"645",150.732369,-33.774166
"646",151.634738,-32.753732
"647",152.924226,-31.03784
"648",152.927339,-30.96783
"649",152.804696,-31.086637
"650",152.909831,-30.956811
"651",153.05896,-29.514415
"652",153.067084,-29.503969
"653",146.026659,-34.471033
"654",146.347789,-34.482187
"655",146.575058,-34.762744
