Experiment_Number,Experiment_Start,Experiment_End,Profile_name,Mean_temperature,Treatment,Incubator,Species,Aphid_count_1,Aphid_count_2,Aphid_count_3,Petridish_Alive_count_1,Petridish_Alive_count_2,Petridish_Alive_count_2,Petridish_dead_count_1,Petridish_Dead_count_2,Petridish_Dead_count_3,Cat,Program_mean,Obs_mean,Program_sd,Obs_sd,Program_ac,Obs_ac,Errors,Remarks,Technician
,11-Mar-22,16-Mar-22,Simplelong15_000_9,15,0,4,7,9,10,,,,,,,,N,14.94667,14.94417,2.46515,2.467087,0.00752323,0.05299073,,,Champ
,18-Mar-22,23-Mar-22,Simplelong15_095rev_10,15,0.95,3,9,0,0,,,,,,,,N,14.9625,14.92417,2.493018,2.499075,0.94988157,0.9488564,,,Champ
,18-Mar-22,23-Mar-22,Simplelong15_000_10,15,0,4,1,7,5,,,,,,,,P,14.9575,14.92833,2.46347,2.459596,0.01953817,0.01758758,,,Champ
,18-Mar-22,23-Mar-22,Simplelong15_095_11,15,0.95,5,17,10,0,,,,,,,,P,14.95667,14.90667,2.489735,2.515757,0.95020225,0.95324903,,,Champ
,01-Apr-22,06-Apr-22,Simplelong15_000_12,15,0,2,0,0,0,,,,,,,,P,14.9475,14.9225,2.457298,2.480934,0.02063921,0.02686499,,,Champ
,01-Apr-22,06-Apr-22,Simplelong15_095_12,15,0.95,3,16,18,17,,,,,,,,N,14.94417,14.91917,2.494727,2.499085,0.95484486,0.95253946,,,Champ
,01-Apr-22,06-Apr-22,Simplelong15_095rev_12,15,0.95,4,10,17,0,,,,,,,,P,14.955,14.91333,2.493684,2.496449,0.95442343,0.95457512,,,Champ
,01-Apr-22,06-Apr-22,Simplelong15_000_11,15,0,5,0,0,19,,,,,,,,N,14.94917,14.93167,2.464811,2.463753,0.02569829,0.04711749,,,Champ
,08-Apr-22,13-Apr-22,Simplelong15_095rev_13,15,0.95,2,0,6,9,,,,,,,,P,14.93529,14.88655,2.504964,2.513891,0.95716639,0.95450542,,,Champ
,08-Apr-22,13-Apr-22,Simplelong15_000_13,15,0,3,12,10,3,,,,,,,,P,14.98655,14.94958,2.432754,2.456775,0.0137826,0.01327641,,,Champ
,08-Apr-22,13-Apr-22,Simplelong15_000_14,15,0,4,13,14,0,,,,,,,,N,14.95294,14.92101,2.47259,2.467685,0.01400777,0.03395561,,,Champ
,08-Apr-22,13-Apr-22,Simplelong15_095_14,15,0.95,5,11,9,10,,,,,,,,N,14.9563,14.93193,2.503849,2.513015,0.94994651,0.95238401,,,Champ
,08-Apr-22,13-Apr-22,Simplelong15_095rev_14,15,0.95,6,0,0,9,,,,,,,,P,14.95882,14.91008,2.509656,2.509656,0.95141028,0.94903976,,,Champ
,15-Apr-22,20-Apr-22,Simplelong15_000_15,15,0,2,6,7,5,,,,,,,,N,14.95462,14.93866,2.466719,2.498783,0.008889543,0.004249368,,,Champ
,15-Apr-22,20-Apr-22,Simplelong15_095_15,15,0.95,3,12,12,17,,,,,,,,P,14.95583,14.91167,2.493346,2.495784,0.949684276,0.945765963,,,Champ
,15-Apr-22,20-Apr-22,Simplelong15_095rev_15,15,0.95,4,0,7,13,,,,,,,,N,14.955,14.91333,2.49183,2.488695,0.95015337,0.949294142,,,Champ
