Experiment_Start,Experiment_End,Profile_name,Mean_Temp,Thermal_regime,Incubator,Offspring_Plant1,Offspring_Plant2,Offspring_Plant3,Duckweed_Rep1,Duckweed_Rep2,Duckweed_Rep3,Technical_issue,Notes,Total_frond,Total_offspring,RGR
5-Nov-21,10-Nov-21,Manual,31,constant,3,0,0,0,14,12,11,,,37,0,0.225202253
5-Nov-21,10-Nov-21,simplelong 40_1,40,constant,5,NA,NA,NA,0,0,0,,,0,NA,0
5-Nov-21,10-Nov-21,Manual,23,constant,6,18,23,7,12,10,10,,,32,48,0.196165851
12-Nov-21,17-Nov-21,Manual,20,constant,1,NA,NA,NA,9,7,12,,,28,NA,0.169459572
12-Nov-21,17-Nov-21,Manual,39,constant,3,NA,NA,NA,4,3,5,,,12,NA,0
12-Nov-21,17-Nov-21,Manual,23,constant,6,NA,NA,NA,10,11,9,,,30,NA,0.183258146
19-Nov-21,24-Nov-21,Manual,20,constant,1,NA,NA,NA,9,8,6,,,23,NA,0.130117513
19-Nov-21,24-Nov-21,Manual,35,constant,3,NA,NA,NA,10,8,8,,,26,NA,0.154637978
19-Nov-21,24-Nov-21,Manual,25,constant,6,NA,NA,NA,11,11,11,,,33,NA,0.202320182
26-Nov-21,1-Dec-21,Manual,20,constant,1,NA,NA,NA,9,8,9,,,26,NA,0.154637978
26-Nov-21,1-Dec-21,Manual,20,constant,3,NA,NA,NA,10,9,9,,,28,NA,0.169459572
26-Nov-21,1-Dec-21,Manual,25,constant,6,NA,NA,NA,10,13,10,,,33,NA,0.202320182
3-Dec-21,8-Dec-21,Manual,20,constant,1,NA,NA,NA,9,9,7,,,25,NA,0.146793835
3-Dec-21,8-Dec-21,Manual,25,constant,3,NA,NA,NA,14,12,12,,,38,NA,0.230535902
3-Dec-21,8-Dec-21,Manual,35,constant,6,NA,NA,NA,12,10,10,,,32,NA,0.196165851
10-Dec-21,15-Dec-21,Simplelong20_2,20,constant,1,NA,NA,NA,7,10,11,,,28,NA,0.169459572
10-Dec-21,15-Dec-21,Simplelong23_1,23,constant,2,NA,NA,NA,10,11,12,,,33,NA,0.202320182
10-Dec-21,15-Dec-21,Simplelong35_1,35,constant,3,NA,NA,NA,8,11,9,,,28,NA,0.169459572
10-Dec-21,15-Dec-21,Simplelong39_1,39,constant,4,NA,NA,NA,4,3,4,,,11,NA,0
17-Dec-21,22-Dec-21,Simplelong20_2,20,constant,1,NA,NA,NA,6,5,7,,,18,NA,0.081093022
17-Dec-21,22-Dec-21,Simplelong25_1,25,constant,2,NA,NA,NA,6,8,6,,,20,NA,0.102165125
