,Experiment_Number,Mean_Temp,Experiment_Start,Experiment_End,Profile_name,Autocorrelation,Incubator,Offspring_Plant1,Offspring_Plant2,Offspring_Plant3,Duckweed_Rep1,Duckweed_Rep2,Duckweed_Rep3,cat_1,cat_1_4,Program_mean,Obs_mean,Program_sd,Obs_sd,Program_ac,Obs_ac,Gaps,Gap_size,SA_initial_rep1,SA_initial_rep2,SA_initial_rep3,SA_final_rep1,SA_final_rep2,SA_final_rep3
164,74,10,22-Apr-22,27-Apr-22,Simplelong10_000_1,0,2,6,8,10,4,5,6,N/A,N/A,10.07166667,10.03333333,2.661874721,2.546453567,0.016482408,0.089577556,n,,0.187,0.228,0.222,0.197,0.235,0.208
165,74,10,22-Apr-22,27-Apr-22,Simplelong10_095_1,0.95,3,0,0,0,5,6,7,N,P,10.075,9.988333333,2.663044634,2.655806492,0.850190331,0.852096377,n,,0.207,0.21,0.206,0.202,0.196,0.254
166,74,10,22-Apr-22,27-Apr-22,Simplelong10_095rev_1,0.95,4,NA,NA,NA,6,6,7,P,N,10.07416667,10.0025,2.662799936,2.657396922,0.849601278,0.85698386,n,,0.174,0.162,0.162,0.206,0.188,0.208
167,74,10,22-Apr-22,27-Apr-22,Simplelong10_000_2,0,5,NA,NA,NA,4,5,4,N/A,N/A,10.0892562,10.10082645,2.644705455,2.48547433,-0.011690508,0.071588264,n,,0.122,0.176,0.128,0.15,0.165,0.155
168,74,10,22-Apr-22,27-Apr-22,Simplelong10_095_2,0.95,6,NA,NA,NA,5,5,5,N,P,10.0892562,10.33553719,2.644705455,2.323641521,0.826912536,0.796952003,n,,0.18,0.218,0.142,0.174,0.208,0.15
169,75,10,29-Apr-22,4-May-22,Simplelong10_000_4,0,2,NA,NA,NA,4,4,5,N/A,N/A,10.065,10.02333333,2.666967245,2.556018876,-0.006351184,0.045652551,n,,0.117,0.129,0.161,0.124,0.16,0.218
170,75,10,29-Apr-22,4-May-22,Simplelong10_000_3,0,3,NA,NA,NA,4,5,5,N/A,N/A,10.08166667,10.01083333,2.660478991,2.577334818,-0.01616448,0.028004184,n,,0.146,0.181,0.179,0.171,0.186,0.206
171,75,10,29-Apr-22,4-May-22,Simplelong10_095_3,0.95,4,0,0,2,5,5,6,P,N,10.08,10.0175,2.660151003,2.64485111,0.837231086,0.853021181,n,,0.155,0.164,0.143,0.183,0.178,0.152
172,75,10,29-Apr-22,4-May-22,Simplelong10_095rev_4,0.95,5,0,0,0,5,6,5,N,N,10.09416667,10.03416667,2.658877498,2.643701754,0.856991801,0.870675462,n,,0.174,0.179,0.191,0.196,0.218,0.203
173,75,10,29-Apr-22,4-May-22,Simplelong10_095rev_2,0.95,6,NA,NA,NA,7,6,5,P,N,10.0975,10.02666667,2.654232786,2.651327029,0.807881672,0.849496907,n,,0.178,0.144,0.165,0.199,0.184,0.211
