Experiment_Number,Mean_Temp,Experiment_Start,Experiment_End,Profile_name,Autocorrelation,Incubator,Offspring_Plant1,Offspring_Plant2,Offspring_Plant3,Duckweed_Rep1,Duckweed_Rep2,Duckweed_Rep3,Cat
19,27,22-Nov-20,27-Nov-20,simplelong27_000_6,0.6,5,22,18,39,,,,N/A
19,27,22-Nov-20,27-Nov-20,simplelong27_060_6,0,6,33,26,24,,,,N/A
20,27,29-Nov-20,04-Dec-20,simplelong27_000_7,0,1,15,7,4,,,,N/A
20,27,29-Nov-20,04-Dec-20,simplelong27_060_7,0.6,3,11,15,25,,,,N/A
20,27,29-Nov-20,04-Dec-20,simplelong27_095_rev_7,0.95,5,19,26,18,,,,N
20,27,29-Nov-20,04-Dec-20,simplelong27_095_7,0.95,6,9,26,16,,,,P
21,27,06-Dec-20,11-Dec-20,simplelong27_000_8,0,1,20,23,24,,,,N/A
21,27,06-Dec-20,11-Dec-20,simplelong27_060_8,0.6,3,21,24,14,,,,N/A
21,27,06-Dec-20,11-Dec-20,simplelong27_095_8,0.95,5,25,30,8,,,,P
21,27,06-Dec-20,11-Dec-20,simplelong27_095_rev_8,0.95,6,27,32,37,,,,N
22,27,13-Dec-20,18-Dec-20,simplelong27_095_rev_9,0.95,1,10,3,3,,,,P
22,27,13-Dec-20,18-Dec-20,simplelong27_095_9,0.95,3,9,3,8,,,,P
22,27,13-Dec-20,18-Dec-20,simplelong27_060_9,0.6,5,42,33,45,,,,N/A
22,27,13-Dec-20,18-Dec-20,simplelong27_000_9,0,6,25,41,49,,,,N/A
25,27,31-Jan-21,05-Feb-21,simplelong_27_060_9,0.6,3,35,18,25,6,7,8,N/A
25,27,31-Jan-21,05-Feb-21,simplelong_27_095_9,0.95,5,16,12,15,6,8,8,P
25,27,31-Jan-21,05-Feb-21,simplelong_27_095_rev_9,0.95,6,26,23,34,8,8,8,P
26,27,07-Feb-21,12-Feb-21,simplelong_27_000_9,0,3,10,14,18,8,6,8,N/A
26,27,07-Feb-21,12-Feb-21,simplelong_27_095_9,0.95,5,9,14,10,6,9,8,P
26,27,07-Feb-21,12-Feb-21,simplelong_27_095_rev_9,0.95,6,22,20,28,8,8,11,N
27,23,14-Feb-21,19-Feb-21,simplelong_23_095_rev_3,0.95,3,36,34,31,6,6,6,
27,23,14-Feb-21,19-Feb-21,simplelong_23_000_3,0,5,39,40,42,7,7,6,N/A
27,23,14-Feb-21,19-Feb-21,simplelong_23_095_3,0.95,6,43,45,41,6,6,6,
28,23,21-Feb-21,26-Feb-21,simplelong_23_060_3,0.6,3,29,35,33,6,7,6,N/A
28,23,21-Feb-21,26-Feb-21,simplelong_23_095_3,0.95,5,30,29,35,6,6,5,
28,23,21-Feb-21,26-Feb-21,simplelong_23_095_rev_3,0.95,6,37,39,43,6,6,6,
29,23,28-Feb-21,04-Mar-21,simplelong_23_000_4,0,3,48,38,24,6,8,6,N/A
29,23,28-Feb-21,04-Mar-21,simplelong_23_095_4,0.95,5,30,25,27,6,5,6,
29,23,28-Feb-21,04-Mar-21,simplelong_23_095_rev_4,0.95,6,40,23,21,5,6,6,
30,23,06-Mar-21,11-Mar-21,simplelong_23_060_4,0.6,3,24,25,30,4,7,7,N/A
30,23,06-Mar-21,11-Mar-21,simplelong_23_095_4,0.95,5,21,40,32,7,4,6,
30,23,06-Mar-21,11-Mar-21,simplelong_23_095_4,0.95,6,31,22,23,6,4,5,
31,19,12-Mar-21,17-Mar-21,simplelong_19_000_2,0,3,32,39,28,,,,N/A
31,19,12-Mar-21,17-Mar-21,simplelong_19_095_2,0.95,5,26,34,23,,,,P
31,19,12-Mar-21,17-Mar-21,simplelong_19_060_2,0.6,6,32,35,32,,,,N/A
33,19,19-Mar-21,24-Mar-21,simplelong_19_000_2,0,5,14,16,23,3,1,1,N/A
33,19,19-Mar-21,24-Mar-21,simplelong_19_060_2,0.6,3,7,9,12,3,1,3,N/A
33,19,19-Mar-21,24-Mar-21,simplelong_19_095rev_2,0.95,6,26,27,28,1,1,,N
38,19,04-Jun-21,09-Jun-21,simplelong19_000_2,0,3,13,15,8,,,,N/A
38,19,04-Jun-21,09-Jun-21,simplelong19_095rev_2,0.95,5,13,6,5,,,,
38,19,04-Jun-21,09-Jun-21,simplelong19_095_2,0.95,6,27,23,13,,,,
39,19,11-Jun-21,16-Jun-21,simplelong_19_060_2,0.6,3,25,16,24,,,,N/A
39,19,11-Jun-21,16-Jun-21,simplelong_19_095rev2,0.95,5,8,27,29,,,,P
39,19,11-Jun-21,16-Jun-21,simplelong_19_095_2,0.95,6,16,8,21,,,,P
49,15,08-Oct-21,13-Oct-21,simplelong15_000_6,0,5,15,24,12,3,3,2,N/A
49,15,08-Oct-21,13-Oct-21,simplelong15_060_6,0.6,3,11,3,0,3,2,4,N/A
49,15,08-Oct-21,13-Oct-21,simplelong15_095_6,0.95,6,0,1,11,3,3,2,N
,15,22-Oct-21,27-Oct-21,simplelong15_095rev_06,0.95,1,7,9,15,5,7,8,
,15,22-Oct-21,27-Oct-21,simplelong_15_000_06,0,3,17,13,11,8,8,5,N/A
,15,22-Oct-21,27-Oct-21,simplelong15_060_06,0.6,5,9,14,15,7,7,7,N/A
,15,22-Oct-21,27-Oct-21,simplelong15_095_6,0.95,6,5,3,4,8,5,6,
53,15,05-Nov-21,10-Nov-21,Simplelong 15_095_06,0.95,2,5,18,11,8,6,7,N
53,15,05-Nov-21,10-Nov-21,Simplelong 15_095rev_06,0.95,4,0,3,2,5,6,6,P
55,15,19-Nov-21,24-Nov-21,Simplelong15_095_06,0.95,2,12,19,17,4,5,6,N
55,15,19-Nov-21,24-Nov-21,Simplelong15_060_6,0.6,4,14,13,12,14,13,12,N/A
55,15,19-Nov-21,24-Nov-21,Simplelong15_000_06,0,5,15,12,8,7,5,6,N/A
,27,03-Dec-21,08-Dec-21,Simplelong27_000_2,0,2,1,1,0,10,11,13,N/A
,27,03-Dec-21,08-Dec-21,Simplelong27_000_3,0,4,18,12,18,14,10,10,N/A
,27,03-Dec-21,08-Dec-21,Simplelong27_000_4,0,5,7,15,10,12,10,10,N/A
,27,10-Dec-21,15-Dec-21,Simplelong27_000_5,0,5,6,8,10,11,11,13,N/A
,27,10-Dec-21,15-Dec-21,Simplelong27_000_6,0,6,1,4,0,11,13,13,N/A
,27,17-Dec-21,22-Dec-21,Simplelong27_000_7,0,4,20,10,7,12,12,12,N/A
,27,17-Dec-21,22-Dec-21,Simplelong27_000_8,0,5,8,4,12,8,12,14,N/A
,27,17-Dec-21,22-Dec-21,Simplelong27_000_9,0,6,20,6,7,11,11,12,N/A
,,14-Jan-22,19-Jan-22,Simplelong27_000_10,0,4,4,5,6,14,11,11,N/A
,,14-Jan-22,19-Jan-22,Simplelong27_000_11,0,5,4,4,0,14,12,11,N/A
,,14-Jan-22,19-Jan-22,Simplelong27_000_12,0,6,6,6,4,12,12,13,N/A
,,21-Jan-22,26-Jan-22,Simplelong27_000_13,0,4,1,0,2,10,11,12,N/A
,,21-Jan-22,26-Jan-22,Simplelong27_000_14,0,5,0,0,4,9,9,10,N/A
,,21-Jan-22,26-Jan-22,Simplelong27_000_15,0,6,7,6,7,12,10,10,N/A
62,,28-Jan-22,02-Feb-22,Simplelong27_095_1,0.95,4,,,,contamination,,,N
62,,28-Jan-22,02-Feb-22,Simplelong27_000_16,0,5,18,18,9,8,8,8,N/A
62,,28-Jan-22,02-Feb-22,Simplelong27_000_17,0,6,33,10,33,contamination,,,N/A
