Experiment_Number,Mean_Temp,Experiment_Start,Experiment_End,Profile_name,Autocorrelation,Incubator,Duckweed_Rep1,Duckweed_Rep2,Duckweed_Rep3,SA_initial_rep1,SA_initial_rep2,SA_initial_rep3,SA_initial_total,SA_final_rep1,SA_final_rep2,SA_final_rep3,SA_final_total
25,27,31-Jan-21,05-Feb-21,simplelong_27_060_9,0.6,3,6,7,8,,,,,,,,
25,27,31-Jan-21,05-Feb-21,simplelong_27_095_9,0.95,5,6,8,8,,,,,,,,
25,27,31-Jan-21,05-Feb-21,simplelong_27_095_rev_9,0.95,6,8,8,8,,,,,,,,
26,27,07-Feb-21,12-Feb-21,simplelong_27_000_9,0,3,8,6,8,,,,,,,,
26,27,07-Feb-21,12-Feb-21,simplelong_27_095_9,0.95,5,6,9,8,,,,,,,,
26,27,07-Feb-21,12-Feb-21,simplelong_27_095_rev_9,0.95,6,8,8,11,,,,,,,,
27,23,14-Feb-21,19-Feb-21,simplelong_23_095_rev_3,0.95,3,6,6,6,,,,,,,,
27,23,14-Feb-21,19-Feb-21,simplelong_23_000_3,0,5,7,7,6,,,,,,,,
27,23,14-Feb-21,19-Feb-21,simplelong_23_095_3,0.95,6,6,6,6,,,,,,,,
28,23,21-Feb-21,26-Feb-21,simplelong_23_060_3,0.6,3,6,7,6,,,,,,,,
28,23,21-Feb-21,26-Feb-21,simplelong_23_095_3,0.95,5,6,6,5,,,,,,,,
28,23,21-Feb-21,26-Feb-21,simplelong_23_095_rev_3,0.95,6,6,6,6,,,,,,,,
29,23,28-Feb-21,04-Mar-21,simplelong_23_000_4,0,3,6,8,6,,,,,,,,
29,23,28-Feb-21,04-Mar-21,simplelong_23_095_4,0.95,5,6,5,6,,,,,,,,
29,23,28-Feb-21,04-Mar-21,simplelong_23_095_rev_4,0.95,6,5,6,6,,,,,,,,
30,23,06-Mar-21,11-Mar-21,simplelong_23_060_4,0.6,3,4,7,7,,,,,,,,
30,23,06-Mar-21,11-Mar-21,simplelong_23_095_4,0.95,5,7,4,6,,,,,,,,
30,23,06-Mar-21,11-Mar-21,simplelong_23_095_4,0.95,6,6,4,5,,,,,,,,
31,19,12-Mar-21,17-Mar-21,simplelong_19_000_2,0,3,,,,,,,,,,,
31,19,12-Mar-21,17-Mar-21,simplelong_19_095_2,0.95,5,,,,,,,,,,,
31,19,12-Mar-21,17-Mar-21,simplelong_19_060_2,0.6,6,,,,,,,,,,,
33,19,19-Mar-21,24-Mar-21,simplelong_19_000_2,0,5,3,1,1,,,,,,,,
33,19,19-Mar-21,24-Mar-21,simplelong_19_060_2,0.6,3,3,1,3,,,,,,,,
33,19,19-Mar-21,24-Mar-21,simplelong_19_095rev_2,0.95,6,1,1,,,,,,,,,
38,19,04-Jun-21,09-Jun-21,simplelong19_000_2,0,3,,,,,,,,,,,
38,19,04-Jun-21,09-Jun-21,simplelong19_095rev_2,0.95,5,,,,,,,,,,,
38,19,04-Jun-21,09-Jun-21,simplelong19_095_2,0.95,6,,,,,,,,,,,
39,19,11-Jun-21,16-Jun-21,simplelong_19_060_2,0.6,3,,,,,,,,,,,
39,19,11-Jun-21,16-Jun-21,simplelong_19_095rev2,0.95,5,,,,,,,,,,,
39,19,11-Jun-21,16-Jun-21,simplelong_19_095_2,0.95,6,,,,,,,,,,,
49,15,08-Oct-21,13-Oct-21,simplelong15_000_6,0,5,3,3,2,,,,,,,,
49,15,08-Oct-21,13-Oct-21,simplelong15_060_6,0.6,3,3,2,4,,,,,,,,
49,15,08-Oct-21,13-Oct-21,simplelong15_095_6,0.95,6,3,3,2,,,,,,,,
53,15,05-Nov-21,10-Nov-21,Simplelong 15_095_06,0.95,2,8,6,7,,,,,,,,
53,15,05-Nov-21,10-Nov-21,Simplelong 15_095rev_06,0.95,4,5,6,6,,,,,,,,
55,15,19-Nov-21,24-Nov-21,Simplelong15_095_06,0.95,2,4,5,6,,,,,,,,
55,15,19-Nov-21,24-Nov-21,Simplelong15_060_6,0.6,4,14,13,12,,,,,,,,
55,15,19-Nov-21,24-Nov-21,Simplelong15_000_06,0,5,7,5,6,,,,,,,,
57,27,03-Dec-21,08-Dec-21,Simplelong27_000_3,0,4,14,10,10,,,,,,,,
57,27,03-Dec-21,08-Dec-21,Simplelong27_000_4,0,5,12,10,10,,,,,,,,
58,27,10-Dec-21,15-Dec-21,Simplelong27_000_5,0,5,11,11,13,,,,,,,,
58,27,10-Dec-21,15-Dec-21,Simplelong27_000_6,0,6,11,13,13,,,,,,,,
59,27,17-Dec-21,22-Dec-21,Simplelong27_000_7,0,4,12,12,12,,,,,,,,
59,27,17-Dec-21,22-Dec-21,Simplelong27_000_8,0,5,8,12,14,,,,,,,,
59,27,17-Dec-21,22-Dec-21,Simplelong27_000_9,0,6,11,11,12,,,,,,,,
60,27,14-Jan-22,19-Jan-22,Simplelong27_000_10,0,4,14,11,11,,,,,,,,
60,27,14-Jan-22,19-Jan-22,Simplelong27_000_11,0,5,14,12,11,,,,,,,,
60,27,14-Jan-22,19-Jan-22,Simplelong27_000_12,0,6,12,12,13,,,,,,,,
61,27,21-Jan-22,26-Jan-22,Simplelong27_000_13,0,4,10,11,12,,,,,,,,
61,27,21-Jan-22,26-Jan-22,Simplelong27_000_14,0,5,9,9,10,,,,,,,,
61,27,21-Jan-22,26-Jan-22,Simplelong27_000_15,0,6,12,10,10,,,,,,,,
62,27,28-Jan-22,02-Feb-22,Simplelong27_000_16,0,5,8,8,8,,,,,,,,
62,27,28-Jan-22,02-Feb-22,Simplelong27_000_17,0,6,,,,,,,,,,,
63,27,04-Feb-22,09-Feb-22,Simplelong27_095_2,0.95,2,10,9,11,,,,,,,,
63,27,04-Feb-22,09-Feb-22,Simplelong27_095rev_2,0.95,3,11,13,13,,,,,,,,
63,27,04-Feb-22,09-Feb-22,Simplelong27_095_3,0.95,4,12,12,12,,,,,,,,
63,27,04-Feb-22,09-Feb-22,Simplelong27_095rev_3,0.95,5,12,11,10,,,,,,,,
63,27,04-Feb-22,09-Feb-22,Simplelong27_095rev_4,0.95,6,12,12,10,,,,,,,,
64,27,11-Feb-22,16-Feb-22,Simplelong27_000_5,0,2,7,8,7,,,,,,,,
64,27,11-Feb-22,16-Feb-22,Simplelong27_095_5,0.95,3,7,8,7,,,,,,,,
64,27,11-Feb-22,16-Feb-22,Simplelong27_095rev_5,0.95,4,6,6,6,,,,,,,,
64,27,11-Feb-22,16-Feb-22,Simplelong27_000_19,0,5,9,10,12,,,,,,,,
64,27,11-Feb-22,16-Feb-22,Simplelong27_095_6,0.95,6,6,7,9,,,,,,,,
65,27,18-Feb-22,23-Feb-22,Simplelong27_095rev_7,0.95,3,,,,,,,,,,,
65,27,18-Feb-22,23-Feb-22,Simplelong27_095_8,0.95,4,,,,,,,,,,,
65,27,18-Feb-22,23-Feb-22,Simplelong27_095rev_8,0.95,5,,,,,,,,,,,
66,27,25-Feb-22,02-Mar-22,Simplelong27_000_10,0,2,12,11,16,,,,,,,,
66,27,25-Feb-22,02-Mar-22,Simplelong27_095_9,0.95,3,11,15,13,,,,,,,,
66,27,25-Feb-22,02-Mar-22,Simplelong27_095rev_9,0.95,4,13,12,11,,,,,,,,
66,27,25-Feb-22,02-Mar-22,Simplelong27_095_10,0.95,5,14,15,12,,,,,,,,
66,27,25-Feb-22,02-Mar-22,Simplelong27_095rev_10,0.95,6,11,11,15,,,,,,,,
67,15,04-Mar-22,09-Mar-22,Simplelong15_095_7,0.95,2,6,5,6,,,,,,,,
67,15,04-Mar-22,09-Mar-22,Simplelong15_095rev_7,0.95,3,5,6,6,,,,,,,,
67,15,04-Mar-22,09-Mar-22,Simplelong15_000_8,0,4,4,5,5,,,,,,,,
67,15,04-Mar-22,09-Mar-22,Simplelong15_095_8,0.95,5,4,6,6,,,,,,,,
67,15,04-Mar-22,09-Mar-22,Simplelong15_095rev_8,0.95,6,6,5,5,,,,,,,,
68,15,11-Mar-22,16-Mar-22,Simplelong15_095_9,0.95,2,6,6,6,,,,,,,,
68,15,11-Mar-22,16-Mar-22,Simplelong15_095rev_9,0.95,3,5,6,6,,,,,,,,
68,15,11-Mar-22,16-Mar-22,Simplelong15_000_9,0,4,6,6,6,,,,,,,,
69,15,18-Mar-22,23-Mar-22,Simplelong15_095_10,0.95,2,6,6,6,0.19,0.174,0.166,0.53,,,,
69,15,18-Mar-22,23-Mar-22,Simplelong15_095rev_10,0.95,3,5,6,6,0.184,0.197,0.168,0.549,,,,
69,15,18-Mar-22,23-Mar-22,Simplelong15_000_10,0,4,4,5,5,0.17,0.205,0.233,0.608,,,,
69,15,18-Mar-22,23-Mar-22,Simplelong15_095_11,0.95,5,5,5,5,0.205,0.166,0.178,0.549,,,,
69,15,18-Mar-22,23-Mar-22,Simplelong15_095rev_11,0.95,6,6,6,3,0.221,0.146,0.189,0.556,,,,
