Experiment_Start,Experiment_End,Profile_name,Mean_Temp,Thermal_regime,Incubator,Offspring_Plant1,Offspring_Plant2,Offspring_Plant3,Duckweed_Rep1,Duckweed_Rep2,Duckweed_Rep3,Technical_issue,Notes
20-Sep-20,25-Sep-20,simplelong11_090_1,11,0.9,3,4,6,0,,,,,
20-Sep-20,25-Sep-20,simplelong11_060_1,11,0.6,5,8,5,4,,,,,
20-Sep-20,25-Sep-20,simplelong11_000_1,11,0,6,10,11,2,,,,y,incubator not working properly
27-Sep-20,02-Oct-20,simplelong15_095_rev_3,15,0.95,1,15,4,14,,,,,
27-Sep-20,02-Oct-20,simplelong15_095_3,15,0.95,3,7,8,16,,,,,
27-Sep-20,02-Oct-20,simplelong15_060_3,15,0.6,5,7,4,12,,,,,
27-Sep-20,02-Oct-20,simplelong15_000_3,15,0,6,4,4,5,,,,,
04-Oct-20,09-Oct-20,simplelong15_095_4,15,0.95,1,5,5,8,,,,,
04-Oct-20,09-Oct-20,simplelong15_095_4,15,0.95,3,8,8,0,,,,,one adult aphid had wings
04-Oct-20,09-Oct-20,simplelong15_060_4,15,0.6,5,4,9,8,,,,,
04-Oct-20,09-Oct-20,simplelong15_000_4,15,0,6,5,2,6,,,,,
11-Oct-20,16-Oct-20,simplelong15_000_5,15,0,1,4,3,3,,,,,
11-Oct-20,16-Oct-20,simplelong15_060_5,15,0.6,3,4,8,7,,,,,
11-Oct-20,16-Oct-20,simplelong15_095_5,15,0.95,5,10,11,13,,,,,
11-Oct-20,16-Oct-20,simplelong15_095_rev.5,15,0.95,6,5,15,4,,,,,
18-Oct-20,23-Oct-20,simplelong27_095_rev_2,27,0.95,1,12,14,10,,,,,
18-Oct-20,23-Oct-20,simplelong27_095_2,27,0.95,3,14,11,11,,,,,
18-Oct-20,23-Oct-20,simplelong27_060_2,27,0.6,5,17,5,14,,,,,
18-Oct-20,23-Oct-20,simplelong27_000_2,27,0,6,20,12,24,,,,,
25-Oct-20,30-Oct-20,simplelong27_095_rev_3,27,0.95,1,15,10,9,,,,,
25-Oct-20,30-Oct-20,simplelong27_095_3,27,0.95,3,3,0,0,,,,,
25-Oct-20,30-Oct-20,simplelong27_060_3,27,0.6,5,13,13,12,,,,,
25-Oct-20,30-Oct-20,simplelong27_000_3,27,0,6,27,26,21,,,,,
01-Nov-20,06-Nov-20,simplelong27_000_4,27,0,1,12,13,14,,,,y,All incubators stopped recording temperatures for a short period on Nov. 1
01-Nov-20,06-Nov-20,simplelong27_060_4,27,0.6,3,0,0,1,,,,y,
01-Nov-20,06-Nov-20,simplelong27_095_4,27,0.95,5,1,2,7,,,,y,
01-Nov-20,06-Nov-20,simplelong27_095_rev_4,27,0.95,6,11,23,17,,,,y,one adult aphid had wings
08-Nov-20,13-Nov-20,simplelong27_095_rev_4,27,0.95,1,12,9,19,,,,y,all incubators had a connection issue to the computer 
08-Nov-20,13-Nov-20,simplelong27_095_4,27,0.95,3,8,3,5,,,,y,
08-Nov-20,13-Nov-20,simplelong27_060_4,27,0.6,5,24,11,26,,,,y,one adult aphid had wings
08-Nov-20,13-Nov-20,simplelong27_000_4,27,0,6,25,32,18,,,,y,
15-Nov-20,20-Nov-20,simplelong27_000_5,27,0,1,12,21,8,,,,,
15-Nov-20,20-Nov-20,simplelong27_060_5,27,0.6,3,20,25,79,,,,,
15-Nov-20,20-Nov-20,simplelong27_095_5,27,0.95,5,14,20,18,,,,,
15-Nov-20,20-Nov-20,simplelong27_095_rev_5,27,0.95,6,31,42,33,,,,,
22-Nov-20,27-Nov-20,simplelong27_095_6,27,0.95,1,17,25,22,,,,,experiment run with new code
22-Nov-20,27-Nov-20,simplelong27_095_rev_6,27,0.95,3,1,4,7,,,,,
22-Nov-20,27-Nov-20,simplelong27_000_6,27,0.6,5,22,18,39,,,,,
22-Nov-20,27-Nov-20,simplelong27_060_6,27,0,6,33,26,24,,,,,
29-Nov-20,04-Dec-20,simplelong27_000_7,27,0,1,15,7,4,,,,,
29-Nov-20,04-Dec-20,simplelong27_060_7,27,0.6,3,11,15,25,,,,,
29-Nov-20,04-Dec-20,simplelong27_095_rev_7,27,0.95,5,19,26,18,,,,,
29-Nov-20,04-Dec-20,simplelong27_095_7,27,0.95,6,9,26,16,,,,,
06-Dec-20,11-Dec-20,simplelong27_000_8,27,0,1,20,23,24,,,,,
06-Dec-20,11-Dec-20,simplelong27_060_8,27,0.6,3,21,24,14,,,,,
06-Dec-20,11-Dec-20,simplelong27_095_8,27,0.95,5,25,30,8,,,,,
06-Dec-20,11-Dec-20,simplelong27_095_rev_8,27,0.95,6,27,32,37,,,,,
13-Dec-20,18-Dec-20,simplelong27_095_rev_9,27,0.95,1,10,3,3,,,,,2 adults had wings
13-Dec-20,18-Dec-20,simplelong27_095_9,27,0.95,3,9,3,8,,,,,Experiment 22 was ended at 15:30
13-Dec-20,18-Dec-20,simplelong27_060_9,27,0.6,5,42,33,45,,,,,
13-Dec-20,18-Dec-20,simplelong27_000_9,27,0,6,25,41,49,,,,,
17-Jan-21,22-Jan-21,simplelong_27_095_rev_9,27,0.95,1,28,34,27,,,,y,protocol data not recorded after 30 minutes. 
17-Jan-21,22-Jan-21,simplelong_27_060_9,27,0.6,3,43,27,30,,,,y,
17-Jan-21,22-Jan-21,simplelong_27_095_9,27,0.95,5,32,26,35,,,,y,
17-Jan-21,22-Jan-21,simplelong_27_000_9,27,0,6,31,25,25,,,,y,
24-Jan-21,29-Jan-21,simplelong_27_095_9,27,0.95,1,34,28,29,,,,y,protocol data not recorded after 30 minutes of experiment
24-Jan-21,29-Jan-21,simplelong_27_095_rev_9,27,0.95,3,36,39,30,,,,y,
24-Jan-21,29-Jan-21,simplelong_27_060_9,27,0.6,5,43,34,31,,,,y,
24-Jan-21,29-Jan-21,simplelong_27_000_9,27,0,6,25,24,34,,,,y,
