Experiment_Start,Experiment_End,Profile_name,Mean_Temp,Autocorrelation,Incubator,Offspring_Plant1,Offspring_Plant2,Offspring_Plant3,Duckweed_Rep1,Duckweed_Rep2,Duckweed_Rep3,Turionifera1,Turionifera2,Turionifera3,,,Duckweed_Notes,,,,,Notes
Nov-01,Nov-06,simplelong27_095_4,27,0.95,5,1,2,7,,,,,,,,,,,,,,
Nov-01,Nov-06,simplelong27_095_rev_4,27,0.95,6,11,23,17,,,,,,,,,,,,,,one adult aphid had wings
Nov-08,Nov-13,simplelong27_095_rev_4,27,0.95,1,12,9,19,,,,,,,,,,,,,,all incubators had a connection issue to the computer 
Nov-08,Nov-13,simplelong27_095_4,27,0.95,3,8,3,5,,,,,,,,,,,,,,
Nov-08,Nov-13,simplelong27_060_4,27,0.6,5,24,11,26,,,,,,,,,,,,,,one adult aphid had wings
Nov-08,Nov-13,simplelong27_000_4,27,0,6,25,32,18,,,,,,,,,,,,,,
Nov-15,Nov-20,simplelong27_000_5,27,0,1,12,21,8,,,,,,,,,,,,,,
Nov-15,Nov-20,simplelong27_060_5,27,0.6,3,20,25,79,,,,,,,,,,,,,,
Nov-15,Nov-20,simplelong27_095_5,27,0.95,5,14,20,18,,,,,,,,,,,,,,
Nov-15,Nov-20,simplelong27_095_rev_5,27,0.95,6,31,42,33,,,,,,,,,,,,,,
Nov-22,Nov-27,simplelong27_095_6,27,0.95,1,17,25,22,,,,,,,,,,,,,,experiment run with new code
Nov-22,Nov-27,simplelong27_095_rev_6,27,0.95,3,1,4,7,,,,,,,,,,,,,,
Nov-22,Nov-27,simplelong27_000_6,27,0.6,5,22,18,39,,,,,,,,,,,,,,
Nov-22,Nov-27,simplelong27_060_6,27,0,6,33,26,24,,,,,,,,,,,,,,
Nov-29,Dec-04,simplelong27_000_7,27,0,1,15,7,4,,,,,,,,,,,,,,
Nov-29,Dec-04,simplelong27_060_7,27,0.6,3,11,15,25,,,,,,,,,,,,,,
Nov-29,Dec-04,simplelong27_095_rev_7,27,0.95,5,19,26,18,,,,,,,,,,,,,,
Nov-29,Dec-04,simplelong27_095_7,27,0.95,6,9,26,16,,,,,,,,,,,,,,
Dec-06,Dec-11,simplelong27_000_8,27,0,1,20,23,24,,,,,,,,,,,,,,
Dec-06,Dec-11,simplelong27_060_8,27,0.6,3,21,24,14,,,,,,,,,,,,,,
Dec-06,Dec-11,simplelong27_095_8,27,0.95,5,25,30,8,,,,,,,,,,,,,,
Dec-06,Dec-11,simplelong27_095_rev_8,27,0.95,6,27,32,37,,,,,,,,,,,,,,
Dec-13,Dec-18,simplelong27_095_rev_9,27,0.95,1,10,3,3,,,,,,,,,,,,,,2 adults had wings
Dec-13,Dec-18,simplelong27_095_9,27,0.95,3,9,3,8,,,,,,,,,,,,,,Experiment 22 was ended at 15:30
Dec-13,Dec-18,simplelong27_060_9,27,0.6,5,42,33,45,,,,,,,,,,,,,,
Dec-13,Dec-18,simplelong27_000_9,27,0,6,25,41,49,,,,,,,,,,,,,,
Jan-17,Jan-22,simplelong_27_095_rev_9,27,0.95,1,28,34,27,,,,,,,,,,,,,,protocol data not recorded after 30 minutes. 
Jan-17,Jan-22,simplelong_27_060_9,27,0.6,3,43,27,30,,,,,,,,,,,,,,
Jan-17,Jan-22,simplelong_27_095_9,27,0.95,5,32,26,35,,,,,,,,,,,,,,
Jan-17,Jan-22,simplelong_27_000_9,27,0,6,31,25,25,,,,,,,,,,,,,,
Jan-24,Jan-29,simplelong_27_095_9,27,0.95,1,34,28,29,,,,,,,,,,,,,,protocol data not recorded after 30 minutes of experiment
Jan-24,Jan-29,simplelong_27_095_rev_9,27,0.95,3,36,39,30,,,,,,,,,,,,,,
Jan-24,Jan-29,simplelong_27_060_9,27,0.6,5,43,34,31,,,,,,,,,,,,,,
Jan-24,Jan-29,simplelong_27_000_9,27,0,6,25,24,34,,,,,,,,,,,,,,
Jan-31,Feb-05,simplelong_27_000_9,27,0,1,28,13,30,5,12,8,,,,,,,,,,,Incubator 1 not working properly. Protocol data not following profile. 
Jan-31,Feb-05,simplelong_27_060_9,27,0.6,3,35,18,25,6,7,8,,,,,,,,,,,
Jan-31,Feb-05,simplelong_27_095_9,27,0.95,5,16,12,15,6,8,8,,,,,,,,,,,
Jan-31,Feb-05,simplelong_27_095_rev_9,27,0.95,6,26,23,34,8,8,8,,,,,,,,,,,
Feb-07,Feb-12,simplelong_27_000_9,27,0,3,10,14,18,8,6,8,,,,,,,,,,,extra trial lemna- 10
Feb-07,Feb-12,simplelong_27_095_9,27,0.95,5,9,14,10,6,9,8,,,,,,,,,,,extra trial lemna- 6
Feb-07,Feb-12,simplelong_27_095_rev_9,27,0.95,6,22,20,28,8,8,11,,,,,,,,,,,extra trial lemna-9
Feb-14,Feb-19,simplelong_23_095_rev_3,23,0.95,3,36,34,31,6,6,6,,,,,,,,,,,
Feb-14,Feb-19,simplelong_23_000_3,23,0,5,39,40,42,7,7,6,,,,,,,,,,,
Feb-14,Feb-19,simplelong_23_095_3,23,0.95,6,43,45,41,6,6,6,,,,,,,,,,,
Feb-21,Feb-26,simplelong_23_060_3,23,0.6,3,29,35,33,6,7,6,,,,,,,,,,,
Feb-21,Feb-26,simplelong_23_095_3,23,0.95,5,30,29,35,6,6,5,,,,,,,,,,,
Feb-21,Feb-26,simplelong_23_095_rev_3,23,0.95,6,37,39,43,6,6,6,,,,,,,,,,,
Feb-28,Mar-04,simplelong_23_000_4,23,0,3,48,38,24,6,8,6,,,,,,,,,,,
Feb-28,Mar-04,simplelong_23_095_4,23,0.95,5,30,25,27,6,5,6,,,,,,,,,,,
Feb-28,Mar-04,simplelong_23_095_rev_4,23,0.95,6,40,23,21,5,6,6,,,,,,,,,,,
Mar-06,Mar-11,simplelong_23_060_4,23,0.6,3,24,25,30,4,7,7,,,,,,,,,,,
Mar-06,Mar-11,simplelong_23_095_4,23,0.95,5,21,40,32,7,4,6,,,,,,,,,,,
Mar-06,Mar-11,simplelong_23_095_4,23,0.95,6,31,22,23,6,4,5,,,,,,,,,,,
March 5/2021,March 10/2021,simplelong_19_000_2,19,0,3,32,39,28,,,,,,,,,,,,,,Issue with incubators-- two 20+ hour gaps in temperature profiles for all incubators
March5/2021,March 10/2021,simplelong_19_095_2,19,0.95,5,26,34,23,,,,,,,,,,,,,,
March 5/2021,March 10/2021,simplelong_19_060_2,19,0.6,6,32,35,32,,,,,,,,,,,,,,
March 19/2021,March 24/2021,simplelong_19_000_2,19,0,5,14,16,23,3,1,1,,,,,,,,,,,Issue with incubators-- two 20+ hour gaps in temperature profiles for all incubators
March 19/2021,March 24/2021,simplelong_19_060_2,19,0.6,3,7,9,12,3,1,3,,,,,,,,,,,
March 19/2021,March 24/2021,simplelong_19_095rev_2,19,0.95,6,26,27,28,1,1,,,,,,,,,,,,
April 2/2021,"April 7, 2021",constant temperature at 23,23,,3,38,44,41,4,4,3,,,,,,,,,,,
April 2/2021,"April 7, 2021",constant temperature at 15,15,,6,4,0,14,2,2,3,,,,,,,,,,,one adult aphid had wings
April 9/2021,April 14/2021,simplelong27_1,27,,3,16,14,14,6,6,7,,,,,,,,,,,
April 9/2021,April 14/2021,simplelong19_1,19,,5,30,32,30,2,3,3,,,,,,,,,,,
April 16/2021,April 21/2021,simplelong15_1,15,,3,12,12,9,2,3,3,,,,,,,,,,,
April 16/2021,April 21/2021,simplelong23_1,23,,5,31,35,31,5,6,6,,,,,,,,,,,
April 16/2021,April 21/2021,simplelong19_1,19,,6,20,22,19,3,4,3,,,,,,,,,,,
06-04-2021,June 09/2021,simplelong19_000_2,19,0,3,13,15,8,,,,,,,,,,,,,,Issue with incubators - 20+ hour gaps and computer likely updated
06-04-2021,June 09/2021,simplelong19_095rev_2,19,0.95,5,13,6,5,,,,,,,,,,,,,,
06-04-2021,June 09/2021,simplelong19_095_2,19,0.95,6,27,23,13,,,,,,,,,,,,,,
June 11/2021,June 16/2021,simplelong_19_060_2,19,0.6,3,25,16,24,,,,,,,,,,,,,,Issue with incubators - 20+ hour gaps 
June 11/2021,June 16/2021,simplelong_19_095rev2,19,0.95,5,8,27,29,,,,,,,,,,,,,,
June 11/2021,June 16/2021,simplelong_19_095_2,19,0.95,6,16,8,21,,,,,,,,,,,,,,
July 2/2021,July 7/2021,simplelong_31_1,31,,3,1,1,2,,,,,,,,,,,,,,There was a gap with the incubators however held at constant temperature
July 2/2021,July 7/2021,simplelong_31_1,31,,5,0,3,1,,,,,,,,,,,,,,
July 2/2021,July 7/2021,simplelong_31_1,31,,6,2,0,2,,,,,,,,,,,,,,
July 16/2021,July 21/2021,simplelong_11_1,11,constant,3,5,0,0,5,0,0,,,,,,"All duckweed counts are total fronds even if they are associated with a colony. Starting number was 2 colonies, 2 fronds each; 4 fronds total",,,,,
July 16/2021,July 21/2021,simplelong_15_1,15,constant,5,8,14,11,6,4,4,,,,,,,,,,,
July 16/2021,July 21/2021,simplelong_31_1,31,constant,6,4,3,4,10,9,8,,,,,,"Duckweed counts consisted of multiple colonies and some singles. Rep1: 2 colonies, 1 w 6 fronds, 1 w 4 fronds, 2 roots each. Rep2: 3 colonies, 1 w 2 fronds, 1 w 4 fronds, 1 w 3 fronds, 2 roots each. Rep3: 2 colonies, 1 w 5 fronds, 1 w 2 fronds, 1 single frond.",,,,,"1 dead aphid on plant 2, not counted in total"
July 23/2021,July 28/2021,simplelong31_1,31,constant,3,0,0,0,,,,,,,,,,,,,,one adult aphid had wings 
July 23/2021,July 28/2021,simplelong11_1,11,constant,5,0,0,1,,,,,,,,,,,,,,
