"","Mean_Temp","Total_offspring"
"6",19,50
"119",23,123
"120",15,18
"121",27,44
"122",19,92
"123",15,33
"124",23,97
"125",19,61
"132",31,4
"133",31,4
"134",31,4
"135",11,5
"136",15,33
"137",31,11
"138",31,0
"139",11,1
"140",15,10
"141",15,44
"142",11,53
"144",31,0
"145",15,33
"146",11,23
"156",31,2
"157",15,20
"158",11,6
"174",20,43
"176",31,0
"179",23,48
"256",40,0
"257",5,0
