Experiment_Number,Mean_Temp,Experiment_Start,Experiment_End,Profile_name,Autocorrelation,Incubator,Offspring_Plant1,Offspring_Plant2,Offspring_Plant3,Duckweed_Rep1,Duckweed_Rep2,Duckweed_Rep3,Cat
11,15,27-Sep-20,2-Oct-20,simplelong15_095_rev_3,0.95,1,15,4,14,,,,P
11,15,27-Sep-20,2-Oct-20,simplelong15_095_3,0.95,3,7,8,16,,,,P
11,15,27-Sep-20,2-Oct-20,simplelong15_060_3,0.6,5,7,4,12,,,,N/A
11,15,27-Sep-20,2-Oct-20,simplelong15_000_3,0,6,4,4,5,,,,N/A
12,15,4-Oct-20,9-Oct-20,simplelong15_095_4,0.95,1,5,5,8,,,,P
12,15,4-Oct-20,9-Oct-20,simplelong15_095_4,0.95,3,8,8,0,,,,P
12,15,4-Oct-20,9-Oct-20,simplelong15_060_4,0.6,5,4,9,8,,,,N/A
12,15,4-Oct-20,9-Oct-20,simplelong15_000_4,0,6,5,2,6,,,,N/A
13,15,11-Oct-20,16-Oct-20,simplelong15_000_5,0,1,4,3,3,,,,N/A
13,15,11-Oct-20,16-Oct-20,simplelong15_060_5,0.6,3,4,8,7,,,,N/A
13,15,11-Oct-20,16-Oct-20,simplelong15_095_5,0.95,5,10,11,13,,,,N
13,15,11-Oct-20,16-Oct-20,simplelong15_095_rev.5,0.95,6,5,15,4,,,,P
14,27,18-Oct-20,23-Oct-20,simplelong27_095_rev_2,0.95,1,12,14,10,,,,N
14,27,18-Oct-20,23-Oct-20,simplelong27_095_2,0.95,3,14,11,11,,,,P
14,27,18-Oct-20,23-Oct-20,simplelong27_060_2,0.6,5,17,5,14,,,,N/A
14,27,18-Oct-20,23-Oct-20,simplelong27_000_2,0,6,20,12,24,,,,N/A
15,27,25-Oct-20,30-Oct-20,simplelong27_095_rev_3,0.95,1,15,10,9,,,,P
15,27,25-Oct-20,30-Oct-20,simplelong27_095_3,0.95,3,3,0,0,,,,P
15,27,25-Oct-20,30-Oct-20,simplelong27_060_3,0.6,5,13,13,12,,,,N/A
15,27,25-Oct-20,30-Oct-20,simplelong27_000_3,0,6,27,26,21,,,,N/A
18,27,15-Nov-20,20-Nov-20,simplelong27_000_5,0,1,12,21,8,,,,N/A
