Experiment_Number,Mean_Temp,Experiment_Start,Experiment_End,Profile_name,Autocorrelation,Incubator,Offspring_Plant1,Offspring_Plant2,Offspring_Plant3,Duckweed_Rep1,Duckweed_Rep2,Duckweed_Rep3,cat_1,cat_1_4,Program_mean,Obs_mean,Program_sd,Obs_sd,Program_ac,Obs_ac,Gaps,Gap_size,SA_initial_rep1,SA_initial_rep2,SA_initial_rep3,SA_final_rep1,SA_final_rep2,SA_final_rep3
73,15,15-Apr-22,20-Apr-22,Simplelong15_095_15,0.95,3,12,12,17,7,7,6,P,N,15.04132231,14.95867769,2.529119393,2.514778632,0.907348493,0.910998762,n,,,,,,,
73,15,15-Apr-22,20-Apr-22,Simplelong15_095rev_15,0.95,4,,,,5,6,6,N,P,15.04132231,14.95867769,2.529119393,2.518321843,0.915746753,0.920938118,n,,,,,,,
74,10,22-Apr-22,27-Apr-22,Simplelong10_000_1,0,2,6,8,10,4,5,6,N/A,N/A,10.07166667,10.03333333,2.661874721,2.546453567,0.016482408,0.089577556,n,,0.187,0.228,0.222,0.197,0.235,0.208
74,10,22-Apr-22,27-Apr-22,Simplelong10_095_1,0.95,3,0,0,0,5,6,7,N,P,10.075,9.988333333,2.663044634,2.655806492,0.850190331,0.852096377,n,,0.207,0.21,0.206,0.202,0.196,0.254
74,10,22-Apr-22,27-Apr-22,Simplelong10_095rev_1,0.95,4,,,,6,6,7,P,N,10.07416667,10.0025,2.662799936,2.657396922,0.849601278,0.85698386,n,,0.174,0.162,0.162,0.206,0.188,0.208
74,10,22-Apr-22,27-Apr-22,Simplelong10_000_2,0,5,,,,4,5,4,N/A,N/A,10.0892562,10.10082645,2.644705455,2.48547433,-0.011690508,0.071588264,n,,0.122,0.176,0.128,0.15,0.165,0.155
74,10,22-Apr-22,27-Apr-22,Simplelong10_095_2,0.95,6,,,,5,5,5,N,P,10.0892562,10.33553719,2.644705455,2.323641521,0.826912536,0.796952003,n,,0.18,0.218,0.142,0.174,0.208,0.15
75,10,29-Apr-22,4-May-22,Simplelong10_000_4,0,2,,,,4,4,5,N/A,N/A,10.065,10.02333333,2.666967245,2.556018876,-0.006351184,0.045652551,n,,0.117,0.129,0.161,0.124,0.16,0.218
75,10,29-Apr-22,4-May-22,Simplelong10_000_3,0,3,,,,4,5,5,N/A,N/A,10.08166667,10.01083333,2.660478991,2.577334818,-0.01616448,0.028004184,n,,0.146,0.181,0.179,0.171,0.186,0.206
75,10,29-Apr-22,4-May-22,Simplelong10_095_3,0.95,4,0,0,2,5,5,6,P,N,10.08,10.0175,2.660151003,2.64485111,0.837231086,0.853021181,n,,0.155,0.164,0.143,0.183,0.178,0.152
75,10,29-Apr-22,4-May-22,Simplelong10_095rev_4,0.95,5,0,0,0,5,6,5,N,N,10.09416667,10.03416667,2.658877498,2.643701754,0.856991801,0.870675462,n,,0.174,0.179,0.191,0.196,0.218,0.203
75,10,29-Apr-22,4-May-22,Simplelong10_095rev_2,0.95,6,,,,7,6,5,P,N,10.0975,10.02666667,2.654232786,2.651327029,0.807881672,0.849496907,n,,0.178,0.144,0.165,0.199,0.184,0.211
61,27,21-Jan-22,26-Jan-22,Simplelong27_000_15,0,6,7,6,7,12,10,10,N/A,N/A,26.94214876,26.88429752,2.96267762,2.933882759,-0.014168328,0.00689276,n,,,,,,,
62,27,28-Jan-22,2-Feb-22,Simplelong27_000_16,0,5,18,18,9,8,8,8,N/A,N/A,26.91764706,26.85294118,2.974514547,2.928319456,-0.019214815,-0.0039995,n,,,,,,,
63,27,4-Feb-22,9-Feb-22,Simplelong27_095_2,0.95,2,,,,10,9,11,N,N,26.94132231,26.8553719,2.575385713,2.575233013,0.876901484,0.878667945,n,,,,,,,
63,27,4-Feb-22,9-Feb-22,Simplelong27_095rev_2,0.95,3,,,,11,13,13,P,N,26.94132231,26.84958678,2.575385713,2.57643565,0.900448732,0.903227385,n,,,,,,,
63,27,4-Feb-22,9-Feb-22,Simplelong27_095_3,0.95,4,,,,12,12,12,P,N,26.94297521,26.8553719,2.566054898,2.548134952,0.896263326,0.901160003,n,,,,,,,
63,27,4-Feb-22,9-Feb-22,Simplelong27_095rev_3,0.95,5,9,8,10,12,11,10,N,P,26.94297521,26.86280992,2.566054898,2.550200392,0.875174921,0.879206294,n,,,,,,,
64,27,11-Feb-22,16-Feb-22,Simplelong27_000_5,0,2,,,,7,8,7,N/A,N/A,26.94083333,26.87,2.583902847,2.56913156,-0.007734958,0.008885457,n,,,,,,,
64,27,11-Feb-22,16-Feb-22,Simplelong27_095_5,0.95,3,,,,7,8,7,P,P,26.92916667,26.83833333,2.581784798,2.581517479,0.911240673,0.916016012,n,,,,,,,
64,27,11-Feb-22,16-Feb-22,Simplelong27_095rev_5,0.95,4,3,9,6,6,6,6,N,N,26.965,26.87583333,2.567791779,2.56626452,0.873764263,0.878536416,n,,,,,,,
64,27,11-Feb-22,16-Feb-22,Simplelong27_000_19,0,5,13,14,12,9,10,12,N/A,N/A,26.93083333,26.87583333,2.576389103,2.533572753,0.0101303,0.024362232,n,,,,,,,
66,27,25-Feb-22,2-Mar-22,Simplelong27_000_10,0,2,,,,12,11,16,N/A,N/A,26.94545455,26.88181818,2.573292314,2.550686182,-0.002750626,0.006485431,n,,,,,,,
66,27,25-Feb-22,2-Mar-22,Simplelong27_095_9,0.95,3,,,,11,15,13,P,N,26.94297521,26.84628099,2.569624695,2.574070749,0.9003611,0.904067791,n,,,,,,,
66,27,25-Feb-22,2-Mar-22,Simplelong27_095rev_9,0.95,4,15,8,18,13,12,11,N,P,26.94297521,26.8553719,2.569624695,2.567779534,0.876702517,0.879847072,n,,,,,,,
66,27,25-Feb-22,2-Mar-22,Simplelong27_095_10,0.95,5,10,12,19,14,15,12,N,P,26.93719008,26.86115702,2.569796757,2.571846674,0.878651658,0.879905351,n,,,,,,,
66,27,25-Feb-22,2-Mar-22,Simplelong27_095rev_10,0.95,6,18,25,21,11,11,15,P,N,26.93719008,26.85041322,2.569796757,2.566713981,0.899661174,0.90533367,n,,,,,,,
25,27,31-Jan-21,5-Feb-21,simplelong_27_095_9,0.95,5,16,12,15,6,8,8,N,P,26.96166667,26.82831858,2.573693136,2.624658788,0.902596994,0.936594169,n,,,,,,,
25,27,31-Jan-21,5-Feb-21,simplelong_27_095_rev_9,0.95,6,26,23,34,8,8,8,P,P,26.95166667,26.86636364,2.578547025,2.473614051,0.913720965,0.935595041,n,,,,,,,
26,27,7-Feb-21,12-Feb-21,simplelong_27_000_9,0,3,10,14,18,8,6,8,N/A,N/A,26.94915254,27.06086957,2.5512774,2.521100215,0.057542563,0.088778921,n,,,,,,,
