Experiment_Number,Experiment_Start,Experiment_End,Profile_name,Mean_temperature,Label,Incubator,Species,Aphid_count_1,Aphid_count_2,Aphid_count_3,Frond_count_1,Frond_count_2,Frond_count_3,Dead_frond_count_1,Dead_frond_count_2,Dead_frond_count_3,Initial_area,Final_area,Initial_weight,Final_weight,cat_1,Program_mean,Obs_mean,Program_sd,Obs_sd,Program_ac,Obs_ac,Errors,Gap_size,Remarks,prep,Treatment,Exp_run
118,22-Sep-23,27-Sep-23,simplelong27_095rev_29,27,strong autocorrelation,6,LM,NA,NA,NA,13,13,14,0,0,0,NA,NA,NA,NA,hot-cold,26.95,26.913,2.491,2.497,0.949,0.947,,NA,,yes,hot-cold,29
119,29-Sep-23,4-Oct-23,simplelong27_000_30,27,no autocorrelation,3,LM,NA,NA,NA,31,27,35,0,0,0,NA,NA,NA,NA,no autocorrelation,26.951,26.948,2.462,2.513,0.014,-0.009,,NA,,yes,no autocorrelation,30
119,29-Sep-23,4-Oct-23,simplelong27_095_30,27,strong autocorrelation,4,LM,NA,NA,NA,28,28,30,0,0,0,NA,NA,NA,NA,hot-cold,26.951,26.928,2.496,2.494,0.942,0.939,,NA,,yes,hot-cold,30
119,29-Sep-23,4-Oct-23,simplelong27_095rev_30,27,strong autocorrelation,6,LM,NA,NA,NA,27,30,33,0,0,0,NA,NA,NA,NA,cold-hot,26.959,26.916,2.494,2.505,0.942,0.942,,NA,,yes,cold-hot,30
120,6-Oct-23,11-Oct-23,simplelong27_095_31,27,strong autocorrelation,2,LM,NA,NA,NA,24,24,27,0,0,0,NA,NA,NA,NA,cold-hot,26.998,26.951,2.499,2.517,0.948,0.945,,NA,,yes,cold-hot,31
120,6-Oct-23,11-Oct-23,simplelong27_000_31,27,no autocorrelation,3,LM,NA,NA,NA,14,20,22,0,0,0,NA,NA,NA,NA,no autocorrelation,26.949,26.934,2.445,2.518,0.015,-0.006,,NA,,yes,no autocorrelation,31
120,6-Oct-23,11-Oct-23,simplelong27_095rev_31,27,strong autocorrelation,6,LM,NA,NA,NA,25,19,24,0,0,0,NA,NA,NA,NA,hot-cold,26.96,26.926,2.488,2.492,0.955,0.953,,NA,,yes,hot-cold,31
121,13-Oct-23,18-Oct-23,simplelong27_095_32,27,strong autocorrelation,2,LM,NA,NA,NA,32,34,28,0,0,0,NA,NA,NA,NA,hot-cold,26.947,26.904,2.499,2.506,0.95,0.947,,NA,,yes,hot-cold,32
121,13-Oct-23,18-Oct-23,simplelong27_095rev_32,27,strong autocorrelation,4,LM,NA,NA,NA,31,31,24,0,0,0,NA,NA,NA,NA,cold-hot,26.956,26.907,2.495,2.499,0.95,0.948,,NA,,yes,cold-hot,32
121,13-Oct-23,18-Oct-23,simplelong27_000_32,27,no autocorrelation,6,LM,NA,NA,NA,38,35,35,0,0,0,NA,NA,NA,NA,no autocorrelation,26.951,26.919,2.465,2.509,0.024,0.012,,NA,,yes,no autocorrelation,32
122,20-Oct-23,25-Oct-23,simplelong27_095rev_33,27,strong autocorrelation,2,LM,NA,NA,NA,30,30,30,0,0,0,NA,NA,NA,NA,cold-hot,26.954,26.908,2.491,2.492,0.95,0.945,,NA,,yes,cold-hot,33
122,20-Oct-23,25-Oct-23,simplelong27_095_33,27,strong autocorrelation,3,LM,NA,NA,NA,35,25,31,0,0,0,NA,NA,NA,NA,hot-cold,26.953,26.923,2.491,2.488,0.95,0.95,,NA,,yes,hot-cold,33
122,20-Oct-23,25-Oct-23,simplelong27_000_33,27,no autocorrelation,4,LM,NA,NA,NA,35,33,33,0,0,0,NA,NA,NA,NA,no autocorrelation,26.952,26.93,2.456,2.49,0.015,0.004,,NA,,yes,no autocorrelation,33
