Company,,University of Waterloo,,Tested by,,
Experiment,,,,Probe ID,,
Ser.-No.,,R511.0378,,Measuring period,,2022-06-23 9:29:00 AM - 2022-06-23 11:58:00 AM
,,,,,,
,,,,,,
,,,,,,
Date,Time,Temp.,Set-,Alarm,Alarm,Alarm
,,,Point,Min.,Max.,Temp.
,,(°C),(°C),(°C),(°C),(°C)
,,,,,,
2022-06-23,11:45,16.5,16.6,,,
2022-06-23,11:46,16.5,16.6,,,
2022-06-23,11:47,16.5,16.6,,,
2022-06-23,11:48,16.5,16.6,,,
2022-06-23,11:49,16.6,16.6,,,
2022-06-23,11:50,16.6,16.6,,,
2022-06-23,11:51,16.6,16.6,,,
2022-06-23,11:52,16.6,16.7,,,
2022-06-23,11:53,16.6,16.7,,,
2022-06-23,11:54,16.6,16.7,,,
2022-06-23,11:55,16.7,16.7,,,
2022-06-23,11:56,16.7,16.7,,,
2022-06-23,11:57,16.7,16.7,,,
2022-06-23,11:58,16.7,16.7,,,
