"Plot Title: greenhouse_2"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10316939, SEN S/N: 10316939)","Intensity, Lux (LGR S/N: 10316939, SEN S/N: 10316939)","Coupler Attached (LGR S/N: 10316939)","Stopped (LGR S/N: 10316939)","End Of File (LGR S/N: 10316939)"
107,08/11/24 12:00:00  AM,23.869,0.0,,,
108,08/11/24 01:00:00  AM,23.292,0.0,,,
109,08/11/24 02:00:00  AM,22.812,0.0,,,
110,08/11/24 03:00:00  AM,22.142,0.0,,,
111,08/11/24 04:00:00  AM,21.855,0.0,,,
112,08/11/24 05:00:00  AM,21.664,0.0,,,
113,08/11/24 06:00:00  AM,21.473,0.0,,,
114,08/11/24 07:00:00  AM,21.473,236.8,,,
115,08/11/24 08:00:00  AM,21.664,2411.1,,,
116,08/11/24 09:00:00  AM,22.717,5166.7,,,
117,08/11/24 10:00:00  AM,24.158,10333.4,,,
118,08/11/24 11:00:00  AM,24.351,7233.4,,,
119,08/11/24 12:00:00  PM,25.610,2755.6,,,
120,08/11/24 01:00:00  PM,27.272,22044.6,,,
121,08/11/24 02:00:00  PM,26.585,2152.8,,,
122,08/11/24 03:00:00  PM,26.879,2411.1,,,
123,08/11/24 04:00:00  PM,27.468,4133.4,,,
124,08/11/24 05:00:00  PM,27.272,13777.9,,,
125,08/11/24 06:00:00  PM,27.075,4305.6,,,
126,08/11/24 07:00:00  PM,26.488,1011.8,,,
127,08/11/24 08:00:00  PM,25.902,161.5,,,
128,08/11/24 09:00:00  PM,25.125,0.0,,,
129,08/11/24 10:00:00  PM,24.255,0.0,,,
130,08/11/24 11:00:00  PM,23.773,0.0,,,
131,08/12/24 12:00:00  AM,23.196,0.0,,,
132,08/12/24 01:00:00  AM,22.717,0.0,,,
133,08/12/24 02:00:00  AM,22.238,0.0,,,
134,08/12/24 03:00:00  AM,21.760,0.0,,,
135,08/12/24 04:00:00  AM,21.378,0.0,,,
136,08/12/24 05:00:00  AM,21.091,0.0,,,
137,08/12/24 06:00:00  AM,20.710,0.0,,,
138,08/12/24 07:00:00  AM,20.424,258.3,,,
139,08/12/24 08:00:00  AM,20.519,1377.8,,,
140,08/12/24 09:00:00  AM,21.282,3100.0,,,
141,08/12/24 10:00:00  AM,22.142,2927.8,,,
142,08/12/24 11:00:00  AM,24.062,8266.7,,,
143,08/12/24 12:00:00  PM,26.585,13089.0,,,
144,08/12/24 01:00:00  PM,28.456,4133.4,,,
145,08/12/24 02:00:00  PM,28.060,2927.8,,,
146,08/12/24 03:00:00  PM,28.655,3272.2,,,
147,08/12/24 04:00:00  PM,28.853,4133.4,,,
148,08/12/24 05:00:00  PM,29.853,7577.8,,,
149,08/12/24 06:00:00  PM,29.953,3272.2,,,
150,08/12/24 07:00:00  PM,29.352,570.5,,,
151,08/12/24 08:00:00  PM,28.258,161.5,,,
152,08/12/24 09:00:00  PM,27.075,0.0,,,
153,08/12/24 10:00:00  PM,26.097,0.0,,,
154,08/12/24 11:00:00  PM,25.125,0.0,,,
155,08/13/24 12:00:00  AM,24.255,0.0,,,
156,08/13/24 01:00:00  AM,23.581,0.0,,,
157,08/13/24 02:00:00  AM,23.004,0.0,,,
158,08/13/24 03:00:00  AM,22.429,0.0,,,
159,08/13/24 04:00:00  AM,21.951,0.0,,,
160,08/13/24 05:00:00  AM,21.473,0.0,,,
161,08/13/24 06:00:00  AM,21.091,0.0,,,
162,08/13/24 07:00:00  AM,20.901,247.6,,,
163,08/13/24 08:00:00  AM,21.091,1980.6,,,
164,08/13/24 09:00:00  AM,22.525,3788.9,,,
165,08/13/24 10:00:00  AM,24.931,6200.0,,,
166,08/13/24 11:00:00  AM,28.060,6200.0,,,
167,08/13/24 12:00:00  PM,30.356,10677.8,,,
168,08/13/24 01:00:00  PM,32.291,12400.1,,,
169,08/13/24 02:00:00  PM,33.639,11022.3,,,
170,08/13/24 03:00:00  PM,35.115,17911.2,,,
171,08/13/24 04:00:00  PM,35.009,13777.9,,,
172,08/13/24 05:00:00  PM,34.585,5511.1,,,
173,08/13/24 06:00:00  PM,33.430,1894.5,,,
174,08/13/24 07:00:00  PM,32.086,979.5,,,
175,08/13/24 08:00:00  PM,30.659,290.6,,,
176,08/13/24 09:00:00  PM,29.252,0.0,,,
177,08/13/24 10:00:00  PM,28.060,0.0,,,
178,08/13/24 11:00:00  PM,27.075,0.0,,,
179,08/14/24 12:00:00  AM,26.195,0.0,,,
180,08/14/24 01:00:00  AM,25.416,0.0,,,
181,08/14/24 02:00:00  AM,24.738,0.0,,,
182,08/14/24 03:00:00  AM,24.062,0.0,,,
183,08/14/24 04:00:00  AM,23.484,0.0,,,
184,08/14/24 05:00:00  AM,23.004,0.0,,,
185,08/14/24 06:00:00  AM,22.621,0.0,,,
186,08/14/24 07:00:00  AM,22.142,387.5,,,
187,08/14/24 08:00:00  AM,22.142,1980.6,,,
188,08/14/24 09:00:00  AM,23.484,4305.6,,,
189,08/14/24 10:00:00  AM,26.195,6544.5,,,
190,08/14/24 11:00:00  AM,28.953,7233.4,,,
191,08/14/24 12:00:00  PM,30.862,11711.2,,,
192,08/14/24 01:00:00  PM,32.704,11022.3,,,
193,08/14/24 02:00:00  PM,33.535,9300.1,,,
194,08/14/24 03:00:00  PM,34.268,14466.8,,,
195,08/14/24 04:00:00  PM,34.796,13777.9,,,
196,08/14/24 05:00:00  PM,34.268,6200.0,,,
197,08/14/24 06:00:00  PM,33.430,2755.6,,,
198,08/14/24 07:00:00  PM,32.188,775.0,,,
199,08/14/24 08:00:00  PM,30.760,204.5,,,
200,08/14/24 09:00:00  PM,29.452,0.0,,,
201,08/14/24 10:00:00  PM,28.159,0.0,,,
202,08/14/24 11:00:00  PM,27.075,0.0,,,
203,08/15/24 12:00:00  AM,26.195,0.0,,,
204,08/15/24 01:00:00  AM,25.513,0.0,,,
205,08/15/24 02:00:00  AM,24.738,0.0,,,
206,08/15/24 03:00:00  AM,24.158,0.0,,,
207,08/15/24 04:00:00  AM,23.677,0.0,,,
208,08/15/24 05:00:00  AM,23.196,0.0,,,
209,08/15/24 06:00:00  AM,22.717,0.0,,,
210,08/15/24 07:00:00  AM,22.333,333.7,,,
211,08/15/24 08:00:00  AM,22.429,1894.5,,,
212,08/15/24 09:00:00  AM,23.966,3788.9,,,
213,08/15/24 10:00:00  AM,26.781,6544.5,,,
214,08/15/24 11:00:00  AM,30.154,7577.8,,,
215,08/15/24 12:00:00  PM,32.497,11711.2,,,
216,08/15/24 01:00:00  PM,34.163,10677.8,,,
217,08/15/24 02:00:00  PM,35.222,9300.1,,,
218,08/15/24 03:00:00  PM,35.971,12400.1,,,
219,08/15/24 04:00:00  PM,36.187,12400.1,,,
220,08/15/24 05:00:00  PM,35.222,6200.0,,,
221,08/15/24 06:00:00  PM,34.163,2927.8,,,
222,08/15/24 07:00:00  PM,32.807,1173.3,,,
223,08/15/24 08:00:00  PM,31.370,247.6,,,
224,08/15/24 09:00:00  PM,29.953,0.0,,,
225,08/15/24 10:00:00  PM,28.655,0.0,,,
226,08/15/24 11:00:00  PM,27.468,0.0,,,
