"Plot Title: greenhouse_5"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10316906, SEN S/N: 10316906)","Intensity, Lux (LGR S/N: 10316906, SEN S/N: 10316906)","Coupler Attached (LGR S/N: 10316906)","Stopped (LGR S/N: 10316906)","End Of File (LGR S/N: 10316906)"
1,08/06/24 02:00:00  PM,21.473,4477.8,,,
2,08/06/24 03:00:00  PM,21.091,3272.2,,,
3,08/06/24 04:00:00  PM,21.091,2238.9,,,
4,08/06/24 05:00:00  PM,21.187,1808.3,,,
5,08/06/24 06:00:00  PM,21.569,3272.2,,,
6,08/06/24 07:00:00  PM,21.664,538.2,,,
7,08/06/24 08:00:00  PM,21.282,236.8,,,
8,08/06/24 09:00:00  PM,20.805,0.0,,,
9,08/06/24 10:00:00  PM,20.329,0.0,,,
10,08/06/24 11:00:00  PM,19.853,0.0,,,
11,08/07/24 12:00:00  AM,19.377,0.0,,,
12,08/07/24 01:00:00  AM,18.901,0.0,,,
13,08/07/24 02:00:00  AM,18.426,0.0,,,
14,08/07/24 03:00:00  AM,17.950,0.0,,,
15,08/07/24 04:00:00  AM,17.475,0.0,,,
16,08/07/24 05:00:00  AM,16.999,0.0,,,
17,08/07/24 06:00:00  AM,16.618,0.0,,,
18,08/07/24 07:00:00  AM,16.237,322.9,,,
19,08/07/24 08:00:00  AM,16.523,2669.5,,,
20,08/07/24 09:00:00  AM,17.950,5166.7,,,
21,08/07/24 10:00:00  AM,20.329,8611.2,,,
22,08/07/24 11:00:00  AM,23.581,8611.2,,,
23,08/07/24 12:00:00  PM,25.416,13089.0,,,
24,08/07/24 01:00:00  PM,27.468,22044.6,,,
25,08/07/24 02:00:00  PM,28.655,15844.5,,,
26,08/07/24 03:00:00  PM,29.452,13777.9,,,
27,08/07/24 04:00:00  PM,30.760,30311.3,,,
28,08/07/24 05:00:00  PM,30.457,11022.3,,,
29,08/07/24 06:00:00  PM,29.652,5166.7,,,
30,08/07/24 07:00:00  PM,28.357,1808.3,,,
31,08/07/24 08:00:00  PM,27.075,559.7,,,
32,08/07/24 09:00:00  PM,25.708,0.0,,,
